"","V1","V2","V3"
"1",100,0.197703280245865,0.00860213344175582
"2",150,0.173610947256862,0.00990510726046052
"3",200,0.159084112716269,0.00861003405895769
"4",250,0.148395097950222,0.00575216826887021
"5",300,0.142726920125612,0.00742834031146697
"6",350,0.136616094943197,0.00629204616348362
"7",400,0.131667286435695,0.0056717516372718
"8",450,0.129046564564477,0.00600681087717005
"9",500,0.123718840379908,0.00624767431843366
"10",550,0.121546181987078,0.00526892201761294
"11",600,0.11883192990804,0.00396283936156612
"12",650,0.11648600136994,0.00584058612874434
"13",700,0.115508799795588,0.0050804213656017
"14",750,0.112271759429855,0.00438342273026824
"15",800,0.109994524994775,0.00371926759339739
"16",850,0.108766957637543,0.00422625931231146
"17",900,0.108520365373571,0.00387434139529487
"18",950,0.106076302143211,0.00400700132946975
"19",1000,0.105435133695837,0.00320108844835118
