"","V1","V2","V3"
"1",0.001,0.0010572696969697,0.000501146590507082
"2",0.002,0.00222670962000962,0.000808215113138667
"3",0.003,0.00353830530776743,0.00114216279487712
"4",0.004,0.00507558028481059,0.00160029815745362
"5",0.005,0.00684988378546257,0.00213026887039266
"6",0.006,0.00892773765263917,0.00287024694741169
"7",0.007,0.0114629636819516,0.00390539672572322
"8",0.008,0.0146058822850263,0.0054639476529832
"9",0.009,0.0187869402974664,0.00748074475175814
"10",0.01,0.0238117314086329,0.0100330139756958
"11",0.011,0.0306176095405863,0.0133637187832792
"12",0.012,0.0390424871762278,0.017133107969228
"13",0.013,0.0496609320746509,0.0210984875345917
"14",0.014,0.0613314567700978,0.0241615430785077
"15",0.015,0.0743025602476492,0.0259965986601693
"16",0.016,0.0891686042492269,0.0282504831403305
"17",0.017,0.103379098053347,0.0290738305033648
"18",0.018,0.1181251113158,0.0293966601855407
"19",0.019,0.13248468265235,0.0290986409168313
"20",0.02,0.146680758630394,0.0291694629018812
