"","V1","V2","V3"
"1",0.001,0.00108451178451178,0.000521269025761934
"2",0.002,0.00224464646464646,0.000905979605616161
"3",0.003,0.00356979797979798,0.00128548014938468
"4",0.004,0.00517126503126503,0.00153501880836036
"5",0.005,0.00679246272246272,0.00183937451609356
"6",0.006,0.00859419512586179,0.00248756668835427
"7",0.007,0.0108391903607055,0.00339433184231206
"8",0.008,0.0142126798117707,0.00475277522184404
"9",0.009,0.0178049539181357,0.00582646292145005
"10",0.01,0.0242110061073214,0.00944972790379851
"11",0.011,0.030813093163764,0.0113644561911064
"12",0.012,0.0382950943084971,0.0169838168947758
"13",0.013,0.0519785034570693,0.0238695101370984
"14",0.014,0.0621632091291909,0.0238759031523698
"15",0.015,0.0748070281043414,0.0281024285908098
"16",0.016,0.0967240942890739,0.029347680980198
"17",0.017,0.102473467334986,0.027003182002117
"18",0.018,0.117899446836022,0.0289511467138675
"19",0.019,0.131450617571231,0.0288032175855454
"20",0.02,0.149520761170279,0.0318287417735115
