"","AIRPORT","LATITUDE","LONGITUDE","PASSENGERS"
"1","ABE",40.65272222,-75.440000002,323908
"2","ABI",32.4106481466667,-99.68111111,37598
"3","ABQ",35.040000002,-106.608277778,2673547
"4","ABY",31.53388889,-84.195277775,19965
"5","ACK",41.253777782,-70.060055556,37214
"6","ACT",31.611805555,-97.229444445,41071
"7","ACV",40.978101855,-124.108287035,31422
"8","ACY",39.456944445,-74.57777778,169417
"9","AGS",33.3694444466667,-81.96444444,203823
"10","AKO",40.17555556,-103.22208333,393
"11","ALB",42.7475,-73.80361111,831475
"12","ALN",38.890833335,-90.04722222,NA
"13","ALO",42.556527775,-92.4,33301
"14","ALW",46.094944444,-118.28811111,20282
"15","AMA",35.2246296266667,-101.71657407,421717
"16","ART",43.991722218,-76.020277778,NA
"17","ASE",39.222833334,-106.868666666,179239
"18","AST",46.15888889,-123.879305555,829
"19","ATL",33.6384523814286,-84.4276190485714,21203384
"20","ATW",44.258000004,-88.519333336,131760
"21","AUS",30.24625,-97.685694445,2266671
"22","AVL",35.43522222,-82.54211111,184587
"23","AVP",41.33861111,-75.72383333,158925
"24","AZO",42.235416665,-85.55263889,191019
"25","BDL",41.938703705,-72.683287035,2124634
"26","BDR",41.16375,-73.125277775,11618
"27","BFF",41.87490741,-103.59925926,601
"28","BFI",47.529444445,-122.30069444,663
"29","BFL",35.4325,-119.055555556667,57141
"30","BGM",42.207055554,-75.97761111,72409
"31","BGR",44.80763889,-68.82791667,156760
"32","BHC",35.16333333,-114.56444444,59273
"33","BHM",33.5632638925,-86.754722225,987625
"34","BIL",45.8075,-108.543055556667,283917
"35","BIS",46.775833335,-100.749166665,119416
"36","BLI",48.79361111,-122.53611111,72091
"37","BMG",39.1420370366667,-86.61537037,28
"38","BMI",40.47958333,-88.921666665,52734
"39","BNA",36.125555555,-86.68,3730315
"40","BOI",43.56486111,-116.22388889,715784
"41","BOS",42.363333335,-71.00625,9319334
"42","BPT",29.95083333,-94.02013889,36210
"43","BQK",31.2589814833333,-81.46638889,11069
"44","BQN",18.4951851833333,-67.1296296266667,103723
"45","BRL",40.78472222,-91.124444445,22513
"46","BRO",25.907444442,-97.426444444,9079
"47","BTM",45.952916665,-112.495694445,33375
"48","BTR",30.53266667,-91.150111112,350444
"49","BTV",44.47236111,-73.153194445,273227
"50","BUF",42.9406481516667,-78.7324074083333,1374230
"51","BUR",34.2001851866667,-118.358055556667,2112649
"52","BWI",39.175444444,-76.668888888,3764952
"53","BZN",45.778,-111.153111108,172416
"54","CAE",33.9386111133333,-81.1181481466667,414828
"55","CAK",40.914444445,-81.44263889,135214
"56","CEC",41.78013889,-124.23625,3931
"57","CGI",37.224444445,-89.57125,5279
"58","CGX",41.85888889,-87.60833333,7120
"59","CHA",35.035833335,-85.20361111,233993
"60","CHO",38.13961111,-78.452611112,5440
"61","CHS",32.89888889,-80.039722225,620129
"62","CIC",39.795555555,-121.8575,5808
"63","CID",41.8845370333333,-91.7076851833333,345825
"64","CLE",41.409722218,-81.853777776,3698140
"65","CLL",30.589027775,-96.364166665,44124
"66","CLM",48.119583335,-123.496666665,24799
"67","CLT",35.2155555566667,-80.9426851866667,7608454
"68","CMH",39.9963425916667,-82.8898148116667,2373625
"69","CMI",40.039305555,-88.27875,101012
"70","COD",44.518055555,-109.025694445,3807
"71","COE",47.77472222,-116.81861111,8628
"72","COS",38.80736111,-104.705,726566
"73","COU",38.816833334,-92.218944446,31136
"74","CPR",42.907277778,-106.46372222,21679
"75","CRP",27.77100694375,-97.50152777625,453566
"76","CRW",38.37388889,-81.59305556,151788
"77","CSG",32.516333334,-84.93888889,74526
"78","CVG",39.048333335,-84.668194445,4901717
"79","CWA",44.77986111,-89.66291667,67934
"80","CYS",41.155694445,-104.81138889,972
"81","DAB",29.1816666666667,-81.05453704,382179
"82","DAL",32.8470370333333,-96.85212963,3190466
"83","DAY",39.901666665,-84.21972222,865983
"84","DBQ",42.40597222,-90.710138885,32650
"85","DCA",38.851666666,-77.037611112,7127860
"86","DEC",39.834305555,-88.867083335,35726
"87","DEN",39.818055555,-104.77638889,13967908
"88","DET",42.4084259266667,-83.0094444433333,249896
"89","DFW",32.896527775,-97.037083335,22845138
"90","DHN",31.320555555,-85.448888885,24887
"91","DLH",46.8421296266667,-92.1925925933333,103991
"92","DSM",41.5339814833333,-93.6590740766667,616242
"93","DTW",42.214583335,-83.348888885,9777972
"94","EAT",47.398722224,-120.206666664,33395
"95","EAU",44.8649074033333,-91.4862037033333,589
"96","EFD",29.60722222,-95.15861111,NA
"97","EGE",39.642944446,-106.92211111,53738
"98","EKO",40.824777778,-115.791166668,109302
"99","ELM",42.160055554,-76.8925,69426
"100","ELP",31.80711111,-106.377,1758135
"101","ERI",42.0816666666667,-80.1762037033333,94425
"102","ESF",31.39513889,-92.296527775,23511
"103","EUG",44.122638885,-123.21472222,346587
"104","EVV",38.03861111,-87.5306481466667,132844
"105","EWR",40.694166665,-74.17013889,10038905
"106","FAR",46.9172222266667,-96.81509259,184345
"107","FAT",36.77638889,-119.718134921429,286642
"108","FAY",34.99125,-78.88027778,147797
"109","FCA",48.31166667,-114.25361111,89976
"110","FLL",26.072453705,-80.1516203716667,3597152
"111","FLO",34.187083335,-79.724166665,9460
"112","FNT",42.965777782,-83.743666666,73276
"113","FOD",42.551805555,-94.19083333,245
"114","FOE",38.951166664,-95.663388888,1220
"115","FSD",43.580416665,-96.741388885,238711
"116","FSM",35.33666667,-94.3675,53211
"117","FWA",40.97833333,-85.189861115,248103
"118","FYV",36.0045370366667,-94.1700925933333,118840
"119","GCK",37.92824074,-100.72796296,274
"120","GEG",47.619583335,-117.53402778,1049369
"121","GFK",47.94958333,-97.17625,76741
"122","GGG",32.38527778,-94.713333335,30161
"123","GJT",39.120555555,-108.52027778,27674
"124","GLH",33.483111112,-90.985444448,NA
"125","GNV",29.68986111,-82.27375,140484
"126","GON",41.329444445,-72.045833335,NA
"127","GPT",30.406666665,-89.07013889,22328
"128","GRB",44.485388888,-88.129888888,253545
"129","GRI",40.96736111,-98.308194445,817
"130","GRR",42.8810185166667,-85.5237037066667,646562
"131","GSO",36.096666665,-79.941944445,935422
"132","GSP",34.89777778,-82.2155555566667,474188
"133","GTF",47.483111112,-111.369722224,124333
"134","GTR",33.449305555,-88.59138889,13505
"135","GUC",38.53411111,-106.93366667,27160
"136","GYY",41.617055556,-87.414,1291
"137","HDN",40.48138889,-107.21888889,51945
"138","HLN",46.606777778,-111.982833332,53761
"139","HOU",29.64527778,-95.27875,4051687
"140","HPN",41.067916665,-73.70763889,321923
"141","HQM",46.97111111,-123.93666667,217
"142","HRL",26.227944444,-97.654333332,521062
"143","HRO",36.26152778,-93.15513889,NA
"144","HSV",34.64,-86.77527778,392787
"145","HTS",38.367611108,-82.558777778,43842
"146","HUF",39.4527083325,-87.30736111,263
"147","HVN",41.264583335,-72.887638885,61599
"148","HYA",41.667638885,-70.28041667,24227
"149","IAD",38.944583335,-77.45875,3255887
"150","IAH",29.9837037,-95.3404629633333,7784128
"151","ICT",37.65,-97.433000004,563284
"152","IDA",43.51486111,-112.067777775,109340
"153","ILE",31.08611111,-97.68652778,40504
"154","ILM",34.270055556,-77.90288889,139607
"155","IMT",45.816944445,-88.114305555,29
"156","IND",39.7243055575,-86.2860416675,2636429
"157","INT",36.134444445,-80.22375,NA
"158","ISP",40.795972225,-73.100555555,423436
"159","ITH",42.490833335,-76.458333335,43464
"160","JAC",43.606944445,-110.73736111,143598
"161","JAN",32.3107142842857,-90.07583333,348738
"162","JAX",30.489444445,-81.68777778,1219265
"163","JFK",40.63961111,-73.778388888,4984441
"164","JLN",37.1515740733333,-94.4983333333333,21663
"165","LAF",40.4120370333333,-86.93472222,6952
"166","LAN",42.7789814833333,-84.58759259,191506
"167","LAS",36.0799074066667,-115.154444443333,8748904
"168","LAW",34.56875,-98.41638889,51183
"169","LAX",33.9425347225,-118.40781250125,14994029
"170","LBB",33.6634126971429,-101.821984128571,585980
"171","LBF",41.12722222,-100.69013889,777
"172","LBL",37.044111112,-100.96,898
"173","LCH",30.1287962966667,-93.22564815,31439
"174","LEB",43.627083335,-72.305,25048
"175","LEX",38.0377777766667,-84.60537037,334905
"176","LFT",30.2050462966667,-91.98763889,74907
"177","LGA",40.777777775,-73.8733333325,8990918
"178","LGB",33.8176851866667,-118.151435186667,288988
"179","LIT",34.7293055533333,-92.22634259,1054711
"180","LMT",42.1575,-121.733611114,12950
"181","LNK",40.85083333,-96.75902778,188499
"182","LRD",27.54425926,-99.4614814833333,18764
"183","LSE",43.87877778,-91.256611114,87122
"184","LWS",46.37458333,-117.01486111,43094
"185","MAF",31.942166666,-102.20183333,531936
"186","MAZ",18.25703704,-67.14861111,29388
"187","MBS",43.5321296333333,-84.08101852,224311
"188","MCE",37.28472222,-120.513333335,3181
"189","MCI",39.2975,-94.71388889,3743829
"190","MCN",32.694305555,-83.64916667,15427
"191","MCO",28.430555555,-81.316805555,8083451
"192","MDH",37.779722225,-89.24944444,82
"193","MDT",40.19305556,-76.76236111,513924
"194","MDW",41.785416665,-87.75222222,2962808
"195","MEI",32.33486111,-88.750555555,8475
"196","MEM",35.04611111,-89.97763889,3200901
"197","MFE",26.176388885,-98.239166665,220654
"198","MFR",42.3737962966667,-122.872685183333,149614
"199","MGM",32.30027778,-86.3925,147667
"200","MHT",42.9369444425,-71.438125,269350
"201","MIA",25.7934259266667,-80.2874074066667,6937885
"202","MKE",42.9479761885714,-87.8969047614286,1981848
"203","MKG",43.169722225,-86.2375,26431
"204","MLB",28.1025925933333,-80.6437963,282731
"205","MLI",41.448333334,-90.507666668,255709
"206","MLU",32.51097222,-92.038333335,99908
"207","MMH",37.63111111,-118.85138889,605
"208","MOB",30.68986111,-88.241805555,303849
"209","MOD",37.626388885,-120.95486111,11692
"210","MOT",48.25861111,-101.279444445,87272
"211","MQT",46.35361111,-87.39527778,22024
"212","MRY",36.587166664,-121.84405556,89252
"213","MSN",43.14097222,-89.33722222,517311
"214","MSO",46.915972225,-114.08902778,165173
"215","MSP",44.884027775,-93.219722225,9438373
"216","MSY",29.992888886,-90.25716667,3248216
"217","MTJ",38.50513889,-107.894444445,903
"218","MWA",37.754388888,-89.012166666,12811
"219","MWH",47.20712963,-119.318333336667,5387
"220","MYR",33.679444445,-78.929027775,207829
"221","NYL",32.65666667,-114.60583333,411
"222","OAJ",34.829722225,-77.611944445,48268
"223","OAK",37.72114583375,-122.2211458325,3482161
"224","OKC",35.39277778,-97.60101852,1480769
"225","OLM",46.971527775,-122.902916665,7144
"226","OMA",41.3025,-95.89375,1011159
"227","ONT",34.05611111,-117.60111111,3007154
"228","ORD",41.9792129633333,-87.9071759283333,26785342
"229","ORF",36.895277775,-76.20125,1138347
"230","ORH",42.26761111,-71.875444444,21169
"231","OSH",43.984166665,-88.55694444,9770
"232","OTH",43.41824074,-124.242314813333,16289
"233","PAE",47.907638885,-122.28152778,73
"234","PAH",37.060694445,-88.77277778,10347
"235","PBI",26.68263889,-80.094861115,2344843
"236","PDT",45.695555554,-118.841000002,9681
