"","AIRPORT","LATITUDE","LONGITUDE","PASSENGERS"
"1","1B1",42.29013889,-73.71027778,3
"2","ABE",40.65272222,-75.440000002,371942
"3","ABI",32.4106481466667,-99.68111111,80953
"4","ABQ",35.040000002,-106.608277778,2879648
"5","ABR",45.4482870383333,-98.422175925,21086
"6","ABY",31.53388889,-84.195277775,33002
"7","ACB",44.986666665,-85.19875,16
"8","ACK",41.253777782,-70.060055556,112347
"9","ACT",31.611805555,-97.229444445,66089
"10","ACV",40.978101855,-124.108287035,102435
"11","ACY",39.456944445,-74.57777778,520685
"12","ADS",32.96847222,-96.83625,3
"13","ADW",38.81083333,-76.866999996,894
"14","AEX",31.325833335,-92.547777775,130423
"15","AFK",40.6062962983333,-95.86689815,4
"16","AFP",35.021222226,-80.078055554,7
"17","AFW",32.9884126985714,-97.31892857,1019
"18","AGS",33.3694444466667,-81.96444444,196846
"19","AHN",33.948555554,-83.326277776,5310
"20","AIA",42.052999998,-102.804333334,1395
"21","AID",40.10861111,-85.61305556,2
"22","AIK",33.64972222,-81.68486111,4
"23","AKC",41.0375,-81.46694444,1
"24","ALB",42.7475,-73.80361111,1298260
"25","ALM",32.8399999983333,-105.990370371667,410
"26","ALO",42.556527775,-92.4,22234
"27","ALS",37.435333334,-105.867111114,6267
"28","ALW",46.094944444,-118.28811111,33430
"29","AMA",35.2246296266667,-101.71657407,394256
"30","ANB",33.588500004,-85.857611114,635
"31","AND",34.494027775,-82.70972222,431
"32","ANP",38.94277778,-76.56861111,1
"33","AOO",40.296805555,-78.32,6430
"34","APA",39.571458335,-104.84861111,62
"35","APC",38.21263889,-122.28027778,11
"36","APN",45.079861115,-83.558055555,7528
"37","AR1",35.261944445,-93.09361111,4
"38","ARA",30.0376851866667,-91.88388889,151
"39","ARB",42.22291667,-83.745,NA
"40","ART",43.991722218,-76.020277778,2145
"41","ASE",39.222833334,-106.868666666,216401
"42","AST",46.15888889,-123.879305555,1529
"43","ATL",33.6384523814286,-84.4276190485714,37677170
"44","ATW",44.258000004,-88.519333336,271937
"45","ATY",44.9105555566667,-97.1543518533333,5820
"46","AUG",44.31930556,-69.796944445,3490
"47","AUM",43.66361111,-92.933472225,2
"48","AUS",30.24625,-97.685694445,4011571
"49","AVL",35.43522222,-82.54211111,293711
"50","AVP",41.33861111,-75.72383333,204137
"51","AZ2",35.30388889,-112.194305555,NA
"52","AZ3",33.52708333,-112.29527778,1
"53","AZA",33.30777778,-111.65555556,288962
"54","AZO",42.235416665,-85.55263889,130731
"55","B19",43.46416667,-70.4725,4
"56","B21",45.085555558,-70.216333334,NA
"57","BAD",32.501888886,-93.662611112,390
"58","BAF",42.158444448,-72.715944442,54
"59","BBX",40.1369444466667,-75.26675926,NA
"60","BCB",37.2075,-80.40736111,11
"61","BCE",37.70638889,-112.145277775,4
"62","BDL",41.938703705,-72.683287035,2598860
"63","BDR",41.16375,-73.125277775,14
"64","BDY",43.086944445,-124.408055555,11
"65","BED",42.470166666,-71.289222224,5174
"66","BEH",42.128444444,-86.427555554,8
"67","BFD",41.80263889,-78.63972222,2589
"68","BFF",41.87490741,-103.59925926,8966
"69","BFI",47.529444445,-122.30069444,31610
"70","BFK",39.70166667,-104.75166667,189
"71","BFL",35.4325,-119.055555556667,103048
"72","BFM",30.62652778,-88.06805556,688
"73","BFT",32.41208333,-80.63458333,4
"74","BGM",42.207055554,-75.97761111,98063
