"","AIRPORT","LATITUDE","LONGITUDE","PASSENGERS"
"1","ABE",40.65272222,-75.440000002,388597
"2","ABI",32.4106481466667,-99.68111111,16445
"3","ABQ",35.040000002,-106.608277778,2973085
"4","ABY",31.53388889,-84.195277775,36605
"5","ACK",41.253777782,-70.060055556,45772
"6","ACT",31.611805555,-97.229444445,50524
"7","ACV",40.978101855,-124.108287035,10986
"8","ACY",39.456944445,-74.57777778,154696
"9","AGS",33.3694444466667,-81.96444444,159515
"10","AKO",40.17555556,-103.22208333,425
"11","ALB",42.7475,-73.80361111,840723
"12","ALM",32.8399999983333,-105.990370371667,1464
"13","ALO",42.556527775,-92.4,27558
"14","ALS",37.435333334,-105.867111114,2919
"15","ALW",46.094944444,-118.28811111,22461
"16","AMA",35.2246296266667,-101.71657407,425623
"17","APF",26.152444444,-81.775611112,42750
"18","ART",43.991722218,-76.020277778,2254
"19","ASE",39.222833334,-106.868666666,203369
"20","AST",46.15888889,-123.879305555,6193
"21","ATL",33.6384523814286,-84.4276190485714,26251104
"22","ATW",44.258000004,-88.519333336,125278
"23","ATY",44.9105555566667,-97.1543518533333,49
"24","AUS",30.24625,-97.685694445,2631664
"25","AVL",35.43522222,-82.54211111,224905
"26","AVP",41.33861111,-75.72383333,176507
"27","AZO",42.235416665,-85.55263889,174430
"28","BDL",41.938703705,-72.683287035,2382614
"29","BDR",41.16375,-73.125277775,17902
"30","BFD",41.80263889,-78.63972222,7225
"31","BFF",41.87490741,-103.59925926,6569
"32","BFI",47.529444445,-122.30069444,NA
"33","BFL",35.4325,-119.055555556667,41059
"34","BFT",32.41208333,-80.63458333,50
"35","BGM",42.207055554,-75.97761111,89296
"36","BGR",44.80763889,-68.82791667,185191
"37","BHM",33.5632638925,-86.754722225,1165148
"38","BIL",45.8075,-108.543055556667,302813
"39","BIS",46.775833335,-100.749166665,121289
"40","BKW",37.78458333,-81.12416667,34
"41","BLI",48.79361111,-122.53611111,93837
"42","BMI",40.47958333,-88.921666665,53202
"43","BNA",36.125555555,-86.68,3102129
"44","BOI",43.56486111,-116.22388889,1038226
"45","BOS",42.363333335,-71.00625,9755758
"46","BPT",29.95083333,-94.02013889,83151
"47","BQK",31.2589814833333,-81.46638889,20704
"48","BQN",18.4951851833333,-67.1296296266667,138987
"49","BRD",46.4011904771429,-94.1355555571429,250
"50","BRL",40.78472222,-91.124444445,13674
"51","BRO",25.907444442,-97.426444444,69092
"52","BTM",45.952916665,-112.495694445,11002
"53","BTR",30.53266667,-91.150111112,368078
"54","BTV",44.47236111,-73.153194445,319188
"55","BUF",42.9406481516667,-78.7324074083333,1343964
"56","BUR",34.2001851866667,-118.358055556667,2426034
"57","BWI",39.175444444,-76.668888888,5514711
"58","BZN",45.778,-111.153111108,182836
"59","CAE",33.9386111133333,-81.1181481466667,518162
"60","CAK",40.914444445,-81.44263889,111389
"61","CBE",39.6150925933333,-78.7627777766667,4800
"62","CEZ",37.30291667,-108.62763889,4195
"63","CGI",37.224444445,-89.57125,5371
"64","CGX",41.85888889,-87.60833333,727
"65","CHA",35.035833335,-85.20361111,206231
"66","CHS",32.89888889,-80.039722225,654712
"67","CID",41.8845370333333,-91.7076851833333,320960
"68","CKB",39.296888892,-80.228111112,9539
"69","CLE",41.409722218,-81.853777776,4932549
"70","CLL",30.589027775,-96.364166665,74805
"71","CLM",48.119583335,-123.496666665,28126
"72","CLT",35.2155555566667,-80.9426851866667,9434001
"73","CMH",39.9963425916667,-82.8898148116667,2737113
"74","CMI",40.039305555,-88.27875,76963
"75","CNM",32.33736111,-104.263055555,4674
"76","COD",44.518055555,-109.025694445,7549
"77","COS",38.80736111,-104.705,1397295
"78","COU",38.816833334,-92.218944446,32962
"79","CPR",42.907277778,-106.46372222,16032
"80","CRP",27.77100694375,-97.50152777625,483257
"81","CRW",38.37388889,-81.59305556,150339
"82","CSG",32.516333334,-84.93888889,76750
"83","CVG",39.048333335,-84.668194445,5698325
"84","CVN",34.4262500016667,-103.078379631667,2395
"85","CWA",44.77986111,-89.66291667,61282
"86","CYS",41.155694445,-104.81138889,12352
"87","DAB",29.1816666666667,-81.05453704,340996
"88","DAL",32.8470370333333,-96.85212963,3406789
"89","DAY",39.901666665,-84.21972222,938057
"90","DBQ",42.40597222,-90.710138885,20913
"91","DCA",38.851666666,-77.037611112,6835351
"92","DDC",37.762361115,-99.96527778,1347
"93","DEC",39.834305555,-88.867083335,22160
"94","DEN",39.818055555,-104.77638889,14100787
"95","DFW",32.896527775,-97.037083335,24015494
"96","DHN",31.320555555,-85.448888885,45214
"97","DLH",46.8421296266667,-92.1925925933333,93264
"98","DRO",37.1550925933333,-107.749074073333,45256
"99","DSM",41.5339814833333,-93.6590740766667,697760
"100","DTW",42.214583335,-83.348888885,11704725
"101","DUJ",41.17833333,-78.89875,10230
"102","EAT",47.398722224,-120.206666664,49136
"103","EAU",44.8649074033333,-91.4862037033333,606
"104","EFD",29.60722222,-95.15861111,43696
"105","EGE",39.642944446,-106.92211111,81168
"106","EKO",40.824777778,-115.791166668,101676
"107","ELM",42.160055554,-76.8925,70245
"108","ELP",31.80711111,-106.377,1815592
"109","ENV",40.71861111,-114.030555554,81
"110","ERI",42.0816666666667,-80.1762037033333,90654
"111","ESF",31.39513889,-92.296527775,31113
"112","EUG",44.122638885,-123.21472222,292091
"113","EVV",38.03861111,-87.5306481466667,103982
"114","EWR",40.694166665,-74.17013889,10844875
"115","EYW",24.555833335,-81.75958333,78250
"116","FAR",46.9172222266667,-96.81509259,186575
"117","FAT",36.77638889,-119.718134921429,198713
"118","FAY",34.99125,-78.88027778,153627
"119","FCA",48.31166667,-114.25361111,113860
"120","FHU",31.58861111,-110.34375,5360
"121","FKL",41.37763889,-79.86041667,3894
"122","FLG",35.13902778,-111.67041667,20952
"123","FLL",26.072453705,-80.1516203716667,3944426
"124","FLO",34.187083335,-79.724166665,19364
"125","FMN",36.74125,-108.229583335,38948
"126","FNL",40.4509259233333,-105.01101852,14351
"127","FNT",42.965777782,-83.743666666,12511
"128","FOD",42.551805555,-94.19083333,887
"129","FOE",38.951166664,-95.663388888,1191
"130","FSD",43.580416665,-96.741388885,236959
"131","FSM",35.33666667,-94.3675,23860
"132","FWA",40.97833333,-85.189861115,260231
"133","FYV",36.0045370366667,-94.1700925933333,142313
"134","GBD",38.345694445,-98.86166667,224
"135","GCC",44.35013889,-105.53222222,7621
"136","GCK",37.92824074,-100.72796296,2831
"137","GCN",35.95208333,-112.14722222,10210
"138","GEG",47.619583335,-117.53402778,1478974
"139","GFK",47.94958333,-97.17625,80941
"140","GGG",32.38527778,-94.713333335,15139
"141","GJT",39.120555555,-108.52027778,46405
"142","GLD",39.37041667,-101.699166665,473
"143","GNV",29.68986111,-82.27375,140466
"144","GON",41.329444445,-72.045833335,7124
"145","GPT",30.406666665,-89.07013889,64806
"146","GRB",44.485388888,-88.129888888,260435
"147","GRI",40.96736111,-98.308194445,949
"148","GRR",42.8810185166667,-85.5237037066667,729236
"149","GSO",36.096666665,-79.941944445,1611424
"150","GSP",34.89777778,-82.2155555566667,551781
"151","GTF",47.483111112,-111.369722224,123440
"152","GTR",33.449305555,-88.59138889,23721
"153","GUC",38.53411111,-106.93366667,37863
"154","GUP",35.51111111,-108.788055555,3529
"155","GYY",41.617055556,-87.414,1388
"156","HDN",40.48138889,-107.21888889,63433
"157","HGR",39.708194445,-77.728194445,5876
"158","HHH",32.220555555,-80.690416665,843
"159","HII",34.56972222,-114.356805555,5732
"160","HLN",46.606777778,-111.982833332,59602
"161","HOB",32.687722222,-103.217055552,1737
"162","HOU",29.64527778,-95.27875,3897002
"163","HPN",41.067916665,-73.70763889,338515
"164","HRL",26.227944444,-97.654333332,488824
"165","HSV",34.64,-86.77527778,362067
"166","HTS",38.367611108,-82.558777778,18299
"167","HVN",41.264583335,-72.887638885,70682
"168","HYA",41.667638885,-70.28041667,24030
"169","HYS",38.844166665,-99.273611115,1075
"170","IAD",38.944583335,-77.45875,3764414
"171","IAH",29.9837037,-95.3404629633333,9927052
"172","ICT",37.65,-97.433000004,592785
"173","IDA",43.51486111,-112.067777775,95532
"174","IFP",35.157111108,-114.560611108,30822
"175","IGM",35.258055555,-113.93902778,1681
"176","ILE",31.08611111,-97.68652778,59489
"177","ILM",34.270055556,-77.90288889,172951
"178","IND",39.7243055575,-86.2860416675,2897684
"179","INT",36.134444445,-80.22375,NA
"180","IPT",41.2409722225,-76.925,6557
"181","ISP",40.795972225,-73.100555555,452629
"182","ITH",42.490833335,-76.458333335,68652
"183","IYK",35.65763889,-117.829305555,4791
"184","JAC",43.606944445,-110.73736111,121392
"185","JAN",32.3107142842857,-90.07583333,350884
"186","JAX",30.489444445,-81.68777778,1605014
"187","JFK",40.63961111,-73.778388888,5805659
"188","JHW",42.151944445,-79.25805556,13522
"189","JLN",37.1515740733333,-94.4983333333333,22815
"190","LAA",38.069166665,-102.689444445,607
"191","LAF",40.4120370333333,-86.93472222,111
"192","LAN",42.7789814833333,-84.58759259,214878
"193","LAR",41.312777775,-105.67402778,5229
"194","LAS",36.0799074066667,-115.154444443333,11281984
"195","LAW",34.56875,-98.41638889,53966
"196","LAX",33.9425347225,-118.40781250125,17501856
"197","LBB",33.6634126971429,-101.821984128571,560967
"198","LBE",40.2747222233333,-79.4065740766667,10583
"199","LBF",41.12722222,-100.69013889,4533
"200","LBL",37.044111112,-100.96,2657
"201","LCH",30.1287962966667,-93.22564815,27239
"202","LEB",43.627083335,-72.305,35298
"203","LEX",38.0377777766667,-84.60537037,337352
"204","LFT",30.2050462966667,-91.98763889,72694
"205","LGA",40.777777775,-73.8733333325,9350890
"206","LGB",33.8176851866667,-118.151435186667,111090
"207","LIT",34.7293055533333,-92.22634259,1205363
"208","LMT",42.1575,-121.733611114,16893
"209","LNK",40.85083333,-96.75902778,227969
"210","LNS",40.121666665,-76.29708333,5118
"211","LRD",27.54425926,-99.4614814833333,23349
"212","LRU",32.290138885,-106.921805555,2816
"213","LSE",43.87877778,-91.256611114,79920
"214","LWB",37.859027775,-80.399027775,1872
"215","LWS",46.37458333,-117.01486111,46450
"216","LYH",37.326805555,-79.20111111,12277
"217","MAF",31.942166666,-102.20183333,523799
"218","MAZ",18.25703704,-67.14861111,24779
"219","MBS",43.5321296333333,-84.08101852,230137
"220","MCE",37.28472222,-120.513333335,1154
"221","MCI",39.2975,-94.71388889,4492193
"222","MCN",32.694305555,-83.64916667,27284
"223","MCO",28.430555555,-81.316805555,8630582
"224","MDT",40.19305556,-76.76236111,488077
"225","MDW",41.785416665,-87.75222222,4099289
"226","MEI",32.33486111,-88.750555555,14987
"227","MEM",35.04611111,-89.97763889,3719544
"228","MFE",26.176388885,-98.239166665,293310
"229","MFR",42.3737962966667,-122.872685183333,160365
"230","MGM",32.30027778,-86.3925,146194
"231","MGW",39.643222224,-79.916722222,10746
"232","MHT",42.9369444425,-71.438125,385391
"233","MIA",25.7934259266667,-80.2874074066667,8177091
"234","MKE",42.9479761885714,-87.8969047614286,2222282
"235","MKG",43.169722225,-86.2375,19843
"236","MLB",28.1025925933333,-80.6437963,258482
"237","MLI",41.448333334,-90.507666668,229572
"238","MLU",32.51097222,-92.038333335,96626
"239","MOB",30.68986111,-88.241805555,266491
