"","ORIGIN","DEST","PASSENGERS"
"1","ABE","ALB",256
"2","ABE","ATL",50454
"3","ABE","ATW",55
"4","ABE","AVP",1196
"5","ABE","AZO",17
"6","ABE","BGR",29
"7","ABE","BIF",118
"8","ABE","BMI",2
"9","ABE","BNA",176
"10","ABE","BOS",5666
"11","ABE","BTV",11
"12","ABE","BWI",465
"13","ABE","CHA",38
"14","ABE","CID",37
"15","ABE","CLE",26360
"16","ABE","CLT",44545
"17","ABE","CVG",40335
"18","ABE","DFW",99
"19","ABE","DTW",48157
"20","ABE","EWR",188
"21","ABE","FLL",12441
"22","ABE","FWA",18
"23","ABE","GRB",2
"24","ABE","GRR",129
"25","ABE","GSO",146
"26","ABE","GSP",9
"27","ABE","GYY",1254
"28","ABE","HPN",82
"29","ABE","HSV",1
"30","ABE","IAD",26024
"31","ABE","IND",2
"32","ABE","ISP",11
"33","ABE","JFK",3
"34","ABE","LAN",24
"35","ABE","LEX",5
"36","ABE","LGA",7
"37","ABE","MCI",7
"38","ABE","MCO",3038
"39","ABE","MDT",158
"40","ABE","MDW",5
"41","ABE","MKE",1
"42","ABE","MLB",165
"43","ABE","MSN",2
"44","ABE","MSP",321
"45","ABE","MSY",7
"46","ABE","MYR",3230
"47","ABE","OKC",12
"48","ABE","OMA",18
"49","ABE","ORD",50404
"50","ABE","PHL",40710
"51","ABE","PHX",188
"52","ABE","PIE",16652
"53","ABE","PIT",20056
"54","ABE","PWM",17
"55","ABE","RIC",84
"56","ABE","SAV",260
"57","ABE","SDF",25
"58","ABE","SFB",17387
"59","ABE","SJU",10
"60","ABE","SRQ",1
"61","ABE","STL",25
"62","ABE","STT",10
"63","ABE","STX",7
"64","ABE","SYR",9
"65","ABE","TRI",133
"66","ABE","TUL",29
"67","ABE","TVC",58
"68","ABE","TYS",50
"69","ABI","AMA",40
"70","ABI","BPT",15
"71","ABI","CLL",20
"72","ABI","DFW",60285
"73","ABI","EKO",430
"74","ABI","ENV",465
"75","ABI","IAH",15541
"76","ABI","IFP",714
"77","ABI","RNO",297
"78","ABI","SJT",1
"79","ABQ","ACT",94
"80","ABQ","ALB",108
"81","ABQ","AMA",35947
"82","ABQ","ATL",160495
"83","ABQ","AUS",19250
"84","ABQ","BDL",975
"85","ABQ","BHM",25
"86","ABQ","BNA",7515
"87","ABQ","BOI",880
"88","ABQ","BOS",525
"89","ABQ","BRO",2
"90","ABQ","BTV",132
"91","ABQ","BUF",2
"92","ABQ","BUR",3995
"93","ABQ","BWI",47331
"94","ABQ","CHD",201
"95","ABQ","CKB",228
"96","ABQ","CLE",676
"97","ABQ","CLT",46
"98","ABQ","CMH",176
"99","ABQ","CNM",4257
"100","ABQ","COS",4346
"101","ABQ","COU",122
"102","ABQ","CVG",94495
"103","ABQ","CVN",1817
"104","ABQ","DAL",177690
"105","ABQ","DAY",41
"106","ABQ","DCA",2151
"107","ABQ","DEN",260699
"108","ABQ","DFW",294289
"109","ABQ","DRO",78
"110","ABQ","DSM",23
"111","ABQ","DTW",4265
"112","ABQ","ELP",56496
"113","ABQ","ENV",625
"114","ABQ","EWR",6605
"115","ABQ","FAT",97
"116","ABQ","FLL",306
"117","ABQ","FMN",6400
"118","ABQ","FSD",56
"119","ABQ","FSM",183
"120","ABQ","GEG",4
"121","ABQ","GJT",43
"122","ABQ","GPT",153
"123","ABQ","GRR",106
"124","ABQ","GSO",7
"125","ABQ","HOB",1533
"126","ABQ","HOU",46250
"127","ABQ","HRL",577
"128","ABQ","HSV",155
"129","ABQ","IAD",17
"130","ABQ","IAH",159476
"131","ABQ","ICT",95
"132","ABQ","IFP",419
"133","ABQ","IND",548
"134","ABQ","ISP",487
"135","ABQ","JAX",6021
"136","ABQ","JFK",831
"137","ABQ","LAR",212
"138","ABQ","LAS",181734
"139","ABQ","LAX",130540
"140","ABQ","LBB",22576
"141","ABQ","LGA",1437
"142","ABQ","LGB",130
"143","ABQ","LIT",2312
"144","ABQ","MAF",24113
"145","ABQ","MCI",49661
"146","ABQ","MCO",62968
"147","ABQ","MDW",61739
"148","ABQ","MEM",339
"149","ABQ","MFE",9
"150","ABQ","MGE",192
"151","ABQ","MHT",617
"152","ABQ","MIA",443
"153","ABQ","MKE",118
"154","ABQ","MSN",483
"155","ABQ","MSO",100
"156","ABQ","MSP",88951
"157","ABQ","MSY",2545
"158","ABQ","MWH",90
"159","ABQ","NYL",26
"160","ABQ","NZY",132
"161","ABQ","OAK",61497
"162","ABQ","OKC",69
"163","ABQ","OMA",141
"164","ABQ","ONT",7350
"165","ABQ","ORD",143748
"166","ABQ","ORF",687
"167","ABQ","PDX",26607
"168","ABQ","PHL",118
"169","ABQ","PHX",479094
"170","ABQ","PIT",248
"171","ABQ","PSP",3
"172","ABQ","PUB",27
"173","ABQ","PVD",12
