"","AIRPORT","LATITUDE","LONGITUDE","PASSENGERS"
"1","ABE",40.65272222,-75.440000002,366539
"2","ABI",32.4106481466667,-99.68111111,41562
"3","ABQ",35.040000002,-106.608277778,2970355
"4","ABR",45.4482870383333,-98.422175925,22745
"5","ABY",31.53388889,-84.195277775,39674
"6","ACK",41.253777782,-70.060055556,10477
"7","ACT",31.611805555,-97.229444445,57689
"8","ACV",40.978101855,-124.108287035,13057
"9","ACY",39.456944445,-74.57777778,290460
"10","ADW",38.81083333,-76.866999996,NA
"11","AEX",31.325833335,-92.547777775,64403
"12","AGS",33.3694444466667,-81.96444444,171110
"13","AKO",40.17555556,-103.22208333,340
"14","ALB",42.7475,-73.80361111,933472
"15","ALO",42.556527775,-92.4,43139
"16","ALW",46.094944444,-118.28811111,23378
"17","AMA",35.2246296266667,-101.71657407,435909
"18","APF",26.152444444,-81.775611112,35873
"19","APN",45.079861115,-83.558055555,2524
"20","ASE",39.222833334,-106.868666666,212188
"21","ATL",33.6384523814286,-84.4276190485714,33214489
"22","ATW",44.258000004,-88.519333336,201148
"23","ATY",44.9105555566667,-97.1543518533333,9742
"24","AUS",30.24625,-97.685694445,3023339
"25","AVL",35.43522222,-82.54211111,210458
"26","AVP",41.33861111,-75.72383333,136021
"27","AZO",42.235416665,-85.55263889,214860
"28","BDL",41.938703705,-72.683287035,2613132
"29","BEH",42.128444444,-86.427555554,6131
"30","BFF",41.87490741,-103.59925926,NA
"31","BFI",47.529444445,-122.30069444,NA
"32","BFL",35.4325,-119.055555556667,37080
"33","BGM",42.207055554,-75.97761111,69835
"34","BGR",44.80763889,-68.82791667,102123
"35","BHM",33.5632638925,-86.754722225,1324761
"36","BIL",45.8075,-108.543055556667,267371
"37","BIS",46.775833335,-100.749166665,101323
"38","BJI",47.5098611075,-94.934166665,26047
"39","BLI",48.79361111,-122.53611111,62030
"40","BMI",40.47958333,-88.921666665,188416
"41","BNA",36.125555555,-86.68,3746960
"42","BOI",43.56486111,-116.22388889,1233539
"43","BOS",42.363333335,-71.00625,10155385
"44","BPT",29.95083333,-94.02013889,104494
"45","BQK",31.2589814833333,-81.46638889,20838
"46","BQN",18.4951851833333,-67.1296296266667,37438
"47","BRD",46.4011904771429,-94.1355555571429,16529
"48","BRL",40.78472222,-91.124444445,11862
"49","BRO",25.907444442,-97.426444444,73457
"50","BTM",45.952916665,-112.495694445,10294
"51","BTR",30.53266667,-91.150111112,428939
"52","BTV",44.47236111,-73.153194445,272163
"53","BUF",42.9406481516667,-78.7324074083333,1463038
"54","BUR",34.2001851866667,-118.358055556667,2357223
"55","BWI",39.175444444,-76.668888888,6700316
"56","BZN",45.778,-111.153111108,203919
"57","CAE",33.9386111133333,-81.1181481466667,442879
"58","CAK",40.914444445,-81.44263889,243349
"59","CGI",37.224444445,-89.57125,9995
"60","CHA",35.035833335,-85.20361111,188458
"61","CHS",32.89888889,-80.039722225,674086
"62","CID",41.8845370333333,-91.7076851833333,401660
"63","CIU",46.246388885,-84.469305555,3002
"64","CLD",33.1285185166667,-117.279814813333,19550
"65","CLE",41.409722218,-81.853777776,5485049
"66","CLL",30.589027775,-96.364166665,91953
"67","CLM",48.119583335,-123.496666665,23123
"68","CLT",35.2155555566667,-80.9426851866667,10041700
"69","CMH",39.9963425916667,-82.8898148116667,3120815
"70","CMI",40.039305555,-88.27875,116584
"71","CMX",47.168055555,-88.48777778,23395
"72","COD",44.518055555,-109.025694445,8389
"73","COS",38.80736111,-104.705,1268345
