"","ORIGIN","DEST","PASSENGERS"
"1","ABE","ABQ",104
"2","ABE","AGS",9
"3","ABE","ATL",51826
"4","ABE","AUS",302
"5","ABE","AZO",39
"6","ABE","BHM",8
"7","ABE","BNA",391
"8","ABE","BOS",1933
"9","ABE","BWI",1591
"10","ABE","CAE",51
"11","ABE","CLT",29887
"12","ABE","CMH",117
"13","ABE","COS",20
"14","ABE","CVG",32
"15","ABE","DAY",56
"16","ABE","DCA",1029
"17","ABE","DEN",361
"18","ABE","DFW",282
"19","ABE","DSM",7
"20","ABE","DTW",48574
"21","ABE","FLL",4
"22","ABE","GRR",57
"23","ABE","GSP",49
"24","ABE","HOU",2
"25","ABE","HSV",25
"26","ABE","IAH",148
"27","ABE","ICT",31
"28","ABE","ILM",78
"29","ABE","IND",243
"30","ABE","LAN",46
"31","ABE","LAS",9
"32","ABE","LGA",135
"33","ABE","LIT",11
"34","ABE","MCI",115
"35","ABE","MCO",385
"36","ABE","MDT",5014
"37","ABE","MDW",3334
"38","ABE","MEM",139
"39","ABE","MIA",62
"40","ABE","MKE",53
"41","ABE","MLB",6
"42","ABE","MSP",64
"43","ABE","MSY",43
"44","ABE","OMA",8
"45","ABE","ONT",26
"46","ABE","ORD",86683
"47","ABE","PBI",171
"48","ABE","PHL",3
"49","ABE","PHX",131
"50","ABE","PIT",98376
"51","ABE","PNS",50
"52","ABE","RSW",120
"53","ABE","SAN",56
"54","ABE","SAT",96
"55","ABE","SBN",610
"56","ABE","SDF",109
"57","ABE","SMF",22
"58","ABE","SRQ",12
"59","ABE","STL",12161
"60","ABE","TPA",974
"61","ABE","TYS",44
"62","ABE","VPS",2
"63","ABI","DFW",21682
"64","ABQ","AGS",276
"65","ABQ","ALB",348
"66","ABQ","AMA",42589
"67","ABQ","ATL",40594
"68","ABQ","AUS",191
"69","ABQ","AVP",60
"70","ABQ","BDL",1367
"71","ABQ","BIL",30
"72","ABQ","BIS",75
"73","ABQ","BNA",16
"74","ABQ","BOI",60
"75","ABQ","BOS",3697
"76","ABQ","BTR",3
"77","ABQ","BTV",396
"78","ABQ","BUF",154
"79","ABQ","BUR",7247
"80","ABQ","BWI",644
"81","ABQ","BZN",266
"82","ABQ","CHS",37
"83","ABQ","CID",5
"84","ABQ","CLE",185
"85","ABQ","CLT",251
"86","ABQ","CMH",7275
"87","ABQ","COS",460
"88","ABQ","CRP",263
"89","ABQ","CVG",26752
"90","ABQ","DAL",197440
"91","ABQ","DCA",12556
"92","ABQ","DEN",274921
"93","ABQ","DFW",374958
"94","ABQ","DSM",395
"95","ABQ","DTW",505
"96","ABQ","EKO",1160
"97","ABQ","ELP",88439
"98","ABQ","EWR",437
"99","ABQ","FAR",78
"100","ABQ","FLL",52
"101","ABQ","FSD",248
"102","ABQ","GEG",221
"103","ABQ","GRB",65
"104","ABQ","GRR",207
"105","ABQ","GSO",169
"106","ABQ","GSP",133
"107","ABQ","HOU",8979
"108","ABQ","HPN",32
"109","ABQ","HRL",425
"110","ABQ","HSV",19
"111","ABQ","IAD",702
"112","ABQ","IAH",123188
"113","ABQ","ICT",48
"114","ABQ","IND",617
"115","ABQ","ISP",139
"116","ABQ","JAX",135
"117","ABQ","JFK",1228
"118","ABQ","LAS",181016
"119","ABQ","LAX",194168
"120","ABQ","LBB",33068
"121","ABQ","LGA",2533
"122","ABQ","LIT",4006
"123","ABQ","MAF",16025
"124","ABQ","MCI",37291
"125","ABQ","MCO",839
"126","ABQ","MDT",132
"127","ABQ","MDW",25940
"128","ABQ","MFE",297
"129","ABQ","MIA",395
"130","ABQ","MKE",171
"131","ABQ","MLB",121
"132","ABQ","MLI",28
"133","ABQ","MOT",11
"134","ABQ","MSN",145
"135","ABQ","MSO",244
"136","ABQ","MSP",67921
"137","ABQ","MSY",4019
"138","ABQ","OAK",25019
"139","ABQ","OKC",2580
"140","ABQ","OMA",187
"141","ABQ","ONT",29656
"142","ABQ","ORD",115660
"143","ABQ","ORF",101
"144","ABQ","PBI",577
"145","ABQ","PDX",3237
"146","ABQ","PHL",4332
"147","ABQ","PHX",490954
"148","ABQ","PIA",9
"149","ABQ","PIT",54299
"150","ABQ","PSC",406
"151","ABQ","PSP",7
"152","ABQ","PVD",175
"153","ABQ","RDU",13
"154","ABQ","RIC",64
"155","ABQ","RIV",33
"156","ABQ","RNO",7313
"157","ABQ","SAN",73478
"158","ABQ","SAT",10964
"159","ABQ","SEA",3986
"160","ABQ","SFO",59373
"161","ABQ","SJC",9099
"162","ABQ","SLC",90615
"163","ABQ","SMF",12702
"164","ABQ","SNA",6898
"165","ABQ","STL",136068
"166","ABQ","TPA",1564
"167","ABQ","TUL",48
"168","ABQ","TUS",110
"169","ABQ","TYS",42
"170","ABY","ATL",36983
"171","ACK","BOS",20391
"172","ACK","EWR",1097
"173","ACK","HPN",276
"174","ACK","HYA",3068
"175","ACK","LGA",4082
"176","ACK","PVD",304
"177","ACT","DFW",20187
"178","ACT","EKO",1257
"179","ACT","ILE",1
"180","ACV","BLI",26
"181","ACV","EKO",175
"182","ACV","MFR",1
"183","ACV","PDX",3846
"184","ACV","PVD",21
"185","ACV","RDD",299
"186","ACV","SEA",1348
"187","ACV","TWF",57
"188","ACV","YKM",8
"189","ACY","ATL",171
"190","ACY","AZO",11
"191","ACY","BOS",27376
"192","ACY","CMH",24
"193","ACY","CVG",7
"194","ACY","DTW",39679
"195","ACY","EVV",5
"196","ACY","FLL",22397
"197","ACY","ISP",28
"198","ACY","LAN",8
"199","ACY","MCO",14548
"200","ACY","MEM",22
"201","ACY","MKE",132
"202","ACY","MSP",14
"203","ACY","ORD",53
"204","ACY","PIT",36207
"205","ACY","RSW",4752
"206","ACY","STL",8
"207","ACY","TOL",12
"208","ACY","TPA",3693
"209","AGS","ATL",158246
"210","AGS","BTR",127
"211","AGS","CAE",40
"212","AGS","CHA",200
"213","AGS","CLE",52
"214","AGS","CLT",28890
"215","AGS","CMH",64
"216","AGS","CRW",12
"217","AGS","CVG",926
"218","AGS","DAY",2
"219","AGS","DFW",89
"220","AGS","EWR",9
"221","AGS","IAD",69
"222","AGS","LEX",9
"223","AGS","MGM",3
"224","AGS","PFN",10
"225","AGS","PIT",222
"226","AGS","RDU",98
"227","AGS","RIC",38
"228","AGS","ROA",38
"229","AGS","SAV",81
"230","AGS","SDF",1
"231","AGS","STL",41
"232","AGS","SWF",1
"233","AGS","SYR",14
"234","AGS","TOL",37
"235","AGS","TYS",3
"236","AKO","EKO",551
"237","ALB","ABE",33
"238","ALB","ABQ",32
"239","ALB","ATL",75476
"240","ALB","AUS",317
"241","ALB","AVL",20
"242","ALB","BDL",22
"243","ALB","BNA",299
"244","ALB","BOS",21711
"245","ALB","BUF",23882
"246","ALB","BWI",13534
"247","ALB","CAE",47
"248","ALB","CAK",37
"249","ALB","CHA",4
"250","ALB","CHS",257
"251","ALB","CID",23
"252","ALB","CLE",499
"253","ALB","CLT",41677
"254","ALB","CMH",401
"255","ALB","CRW",33
"256","ALB","CVG",35001
"257","ALB","DAB",645
"258","ALB","DAY",9
"259","ALB","DCA",63379
"260","ALB","DEN",354
"261","ALB","DFW",575
"262","ALB","DSM",91
"263","ALB","DTW",68906
"264","ALB","EWR",31
"265","ALB","FLL",2960
"266","ALB","FNT",18
"267","ALB","FSD",13
"268","ALB","FWA",8
"269","ALB","GRR",44
"270","ALB","GSO",99
"271","ALB","GSP",395
"272","ALB","HPN",11
"273","ALB","HSV",1
"274","ALB","HTS",2
"275","ALB","IAH",650
"276","ALB","ICT",5
"277","ALB","ILM",27
"278","ALB","IND",685
"279","ALB","ISP",796
"280","ALB","JAX",783
"281","ALB","JFK",7255
"282","ALB","LAS",477
"283","ALB","LGA",13038
"284","ALB","LIT",67
"285","ALB","MCI",487
"286","ALB","MCO",9148
"287","ALB","MEM",54
"288","ALB","MIA",3157
"289","ALB","MKE",22
"290","ALB","MLB",179
"291","ALB","MSN",76
"292","ALB","MSP",386
"293","ALB","MSY",61
"294","ALB","MYR",193
"295","ALB","OAJ",53
"296","ALB","OAK",131
"297","ALB","OMA",23
"298","ALB","ONT",217
"299","ALB","ORD",204401
"300","ALB","ORF",504
"301","ALB","PBI",2321
"302","ALB","PDX",230
"303","ALB","PHL",86146
"304","ALB","PHX",344
"305","ALB","PIT",111732
"306","ALB","PNS",70
"307","ALB","PSM",13
"308","ALB","PSP",6
"309","ALB","PWM",4882
"310","ALB","RDU",38814
"311","ALB","RIC",17
"312","ALB","ROA",17
"313","ALB","ROC",1027
"314","ALB","RSW",385
"315","ALB","SAN",54
"316","ALB","SAT",337
"317","ALB","SAV",54
"318","ALB","SBN",7
"319","ALB","SDF",286
"320","ALB","SJU",365
"321","ALB","SMF",96
"322","ALB","SRQ",1119
"323","ALB","STL",348
"324","ALB","SYR",651
"325","ALB","TLH",5
"326","ALB","TOL",26
"327","ALB","TPA",2978
"328","ALB","TUL",11
"329","ALB","TUS",98
"330","ALB","TVC",3
"331","ALO","CID",80
"332","ALO","DBQ",52
"333","ALO","EKO",409
"334","ALO","ORD",9959
"335","ALO","PAH",14
"336","ALO","STL",21971
"337","ALO","UIN",8
"338","ALW","BOI",34
"339","ALW","CLM",13
"340","ALW","EAT",18
"341","ALW","GEG",17
"342","ALW","LWS",4
"343","ALW","MWH",51
"344","ALW","PDX",2663
"345","ALW","PSC",231
"346","ALW","PUW",22
"347","ALW","SEA",19787
"348","ALW","YKM",228
"349","AMA","ABQ",39766
"350","AMA","AUS",5731
"351","AMA","BDL",63
"352","AMA","BHM",18
"353","AMA","BOS",55
"354","AMA","BUR",6
"355","AMA","CLE",51
"356","AMA","CMH",44
"357","AMA","CVG",7
"358","AMA","DAL",185967
"359","AMA","DAY",3
"360","AMA","DFW",144037
"361","AMA","DSM",2
"362","AMA","DTW",39
"363","AMA","EKO",1014
"364","AMA","ELP",1
"365","AMA","HOU",32396
"366","AMA","HRL",983
"367","AMA","HSV",27
"368","AMA","LAS",3
"369","AMA","LAX",48
"370","AMA","LBB",228
"371","AMA","LIT",29
"372","AMA","MCI",2
"373","AMA","MKE",43
"374","AMA","MSY",470
"375","AMA","OAK",823
"376","AMA","OKC",1
"377","AMA","ONT",2887
"378","AMA","PHX",24291
"379","AMA","RIC",63
"380","AMA","SAN",1626
"381","AMA","SFO",6
"382","AMA","SMF",2
"383","AMA","SPS",28
"384","AMA","STL",30
"385","AMA","TUL",15
"386","APF","MIA",10956
"387","APF","PBI",12
"388","ASE","COS",100
"389","ASE","DEN",161118
"390","ASE","DFW",2629
"391","ASE","LAX",9191
"392","ASE","MKE",162
"393","ASE","ORD",12222
"394","AST","PDX",3955
"395","AST","RDM",6
"396","ATL","ABE",53093
"397","ATL","ABQ",35759
"398","ATL","ABY",37243
"399","ATL","AGS",156535
"400","ATL","ALB",82506
"401","ATL","ATW",2934
"402","ATL","AUS",73744
"403","ATL","AVL",111081
"404","ATL","AVP",38617
"405","ATL","AZO",469
"406","ATL","BDL",203300
"407","ATL","BGM",47
"408","ATL","BGR",10100
"409","ATL","BHM",267685
"410","ATL","BIL",243
"411","ATL","BNA",310761
"412","ATL","BOI",185
"413","ATL","BOS",492617
"414","ATL","BQK",21789
"415","ATL","BQN",148
"416","ATL","BTR",121975
"417","ATL","BTV",96
"418","ATL","BUF",94681
"419","ATL","BUR",205
"420","ATL","BWI",372447
"421","ATL","BZN",226
"422","ATL","CAE",303343
"423","ATL","CAK",79
"424","ATL","CHA",164586
"425","ATL","CHS",318979
"426","ATL","CID",66
"427","ATL","CLE",255213
"428","ATL","CLT",356192
"429","ATL","CMH",180779
"430","ATL","COS",846
"431","ATL","CRP",74
"432","ATL","CRW",25949
"433","ATL","CSG",89417
"434","ATL","CVG",315964
"435","ATL","DAB",182505
"436","ATL","DAY",163155
"437","ATL","DCA",467118
"438","ATL","DEN",337135
"439","ATL","DFW",970235
"440","ATL","DHN",47401
"441","ATL","DLH",109
"442","ATL","DSM",608
"443","ATL","DTW",403736
"444","ATL","ELP",3405
"445","ATL","EUG",530
"446","ATL","EVV",25104
"447","ATL","EWR",718068
"448","ATL","FAR",204
"449","ATL","FAY",53202
"450","ATL","FCA",27
"451","ATL","FLL",664560
"452","ATL","FLO",19370
"453","ATL","FNT",116
"454","ATL","FSD",234
"455","ATL","FWA",33361
"456","ATL","GEG",446
"457","ATL","GNV",129470
"458","ATL","GPT",35070
"459","ATL","GRB",352
"460","ATL","GRR",11700
"461","ATL","GSO",305565
"462","ATL","GSP",212766
"463","ATL","GTR",25384
"464","ATL","GUC",8942
"465","ATL","HLN",42
"466","ATL","HOU",99760
"467","ATL","HRL",16
"468","ATL","HSV",167285
"469","ATL","IAD",344724
"470","ATL","IAH",339364
"471","ATL","ICT",31454
"472","ATL","IDA",12
"473","ATL","ILM",34818
"474","ATL","IND",164473
"475","ATL","ISP",284
"476","ATL","JAN",160987
"477","ATL","JAX",446090
"478","ATL","JFK",196065
"479","ATL","LAN",786
"480","ATL","LAS",170463
"481","ATL","LAX",400739
"482","ATL","LBB",47
"483","ATL","LEX",109911
"484","ATL","LFT",34
"485","ATL","LGA",533274
"486","ATL","LIT",116533
"487","ATL","LNK",109
"488","ATL","LYH",5749
"489","ATL","MBS",892
"490","ATL","MCI",228077
"491","ATL","MCN",28471
"492","ATL","MCO",916481
"493","ATL","MDT",62635
"494","ATL","MDW",152764
"495","ATL","MEI",17285
"496","ATL","MEM",394438
"497","ATL","MFE",282
"498","ATL","MGM",149021
"499","ATL","MHT",115
"500","ATL","MIA",584046
"501","ATL","MKE",124990
"502","ATL","MLB",117637
"503","ATL","MLU",37862
"504","ATL","MOB",181260
"505","ATL","MOT",25
"506","ATL","MSN",226
"507","ATL","MSO",15
"508","ATL","MSP",245340
"509","ATL","MSY",433547
"510","ATL","MYR",55190
"511","ATL","OAJ",21704
"512","ATL","OAK",731
"513","ATL","OKC",67592
"514","ATL","OMA",54568
"515","ATL","ONT",46197
"516","ATL","ORD",747360
"517","ATL","ORF",199941
"518","ATL","PBI",389460
"519","ATL","PDX",83422
"520","ATL","PFN",112812
"521","ATL","PHL",467813
"522","ATL","PHX",249739
"523","ATL","PIE",7880
"524","ATL","PIT",231460
"525","ATL","PNS",185328
"526","ATL","PSC",89
"527","ATL","PSP",5
"528","ATL","PVD",99480
"529","ATL","PWM",21056
"530","ATL","RDU",336659
"531","ATL","RIC",168593
"532","ATL","RNO",1617
"533","ATL","ROA",50932
"534","ATL","ROC",59835
"535","ATL","RST",327
"536","ATL","RSW",289317
"537","ATL","SAN",120413
"538","ATL","SAT",152048
"539","ATL","SAV",306217
"540","ATL","SBA",9
"541","ATL","SBN",69
"542","ATL","SDF",281329
"543","ATL","SEA",124285
"544","ATL","SFO",278906
"545","ATL","SGF",198
"546","ATL","SHV",68028
"547","ATL","SJC",1499
"548","ATL","SJU",293054
"549","ATL","SLC",447260
"550","ATL","SMF",1068
"551","ATL","SNA",13903
"552","ATL","SRQ",194026
"553","ATL","STL",336016
"554","ATL","STT",93667
"555","ATL","STX",13777
"556","ATL","SUX",38
"557","ATL","SWF",59779
"558","ATL","SYR",59193
"559","ATL","TLH",174839
"560","ATL","TOL",52853
"561","ATL","TPA",677780
"562","ATL","TRI",87054
"563","ATL","TUL",80499
"564","ATL","TUS",900
"565","ATL","TYS",218185
"566","ATL","VLD",18837
"567","ATL","VPS",74783
"568","ATW","ASE",25
"569","ATW","ATL",6996
"570","ATW","DEN",1411
"571","ATW","LGA",120
"572","ATW","MKE",17306
"573","ATW","ORD",94825
"574","ATW","OSH",85
"575","ATW","PHL",32
"576","ATW","TPA",57
"577","AUS","ABE",69
"578","AUS","ABQ",7994
"579","AUS","AGS",54
"580","AUS","ALB",154
"581","AUS","AMA",314
"582","AUS","ATL",89796
"583","AUS","BDL",138
