"","AIRPORT","LATITUDE","LONGITUDE","PASSENGERS"
"1","1G4",35.988194445,-113.816666665,39523
"2","1NY",42.6370370333333,-77.05277778,1
"3","6B0",43.98513889,-73.095694445,11
"4","ABE",40.65272222,-75.440000002,319354
"5","ABI",32.4106481466667,-99.68111111,85933
"6","ABQ",35.040000002,-106.608277778,2323442
"7","ABR",45.4482870383333,-98.422175925,27583
"8","ABY",31.53388889,-84.195277775,33949
"9","ACK",41.253777782,-70.060055556,155043
"10","ACT",31.611805555,-97.229444445,62689
"11","ACV",40.978101855,-124.108287035,55154
"12","ACY",39.456944445,-74.57777778,576800
"13","ADS",32.96847222,-96.83625,2
"14","ADW",38.81083333,-76.866999996,125
"15","AEX",31.325833335,-92.547777775,135105
"16","AFW",32.9884126985714,-97.31892857,1999
"17","AGC",40.3545370333333,-79.9298148166667,100
"18","AGS",33.3694444466667,-81.96444444,271638
"19","AHN",33.948555554,-83.326277776,453
"20","AIA",42.052999998,-102.804333334,1473
"21","AID",40.10861111,-85.61305556,2
"22","ALB",42.7475,-73.80361111,1276130
"23","ALN",38.890833335,-90.04722222,36
"24","ALO",42.556527775,-92.4,26530
"25","ALS",37.435333334,-105.867111114,3099
"26","ALW",46.094944444,-118.28811111,41259
"27","AMA",35.2246296266667,-101.71657407,341123
"28","AMW",41.993055555,-93.620138885,2
"29","ANB",33.588500004,-85.857611114,1598
"30","AOO",40.296805555,-78.32,2471
"31","APA",39.571458335,-104.84861111,25
"32","APC",38.21263889,-122.28027778,80
"33","APF",26.152444444,-81.775611112,26
"34","APN",45.079861115,-83.558055555,10000
"35","ARA",30.0376851866667,-91.88388889,860
"36","ARB",42.22291667,-83.745,6
"37","ART",43.991722218,-76.020277778,18644
"38","ASE",39.222833334,-106.868666666,233448
"39","ASH",42.78101852,-71.5127777766667,8
"40","ATL",33.6384523814286,-84.4276190485714,43788207
"41","ATW",44.258000004,-88.519333336,258288
"42","ATY",44.9105555566667,-97.1543518533333,982
"43","AUG",44.31930556,-69.796944445,4886
"44","AUS",30.24625,-97.685694445,5673564
"45","AUW",44.925777778,-89.626055556,60
"46","AUZ",41.771388885,-88.47416667,NA
"47","AVL",35.43522222,-82.54211111,393234
"48","AVP",41.33861111,-75.72383333,219363
"49","AVW",32.409305555,-111.218194445,6
"50","AWM",35.135,-90.23444444,2
"51","AZ1",35.650694445,-112.14805556,1
"52","AZ3",33.52708333,-112.29527778,1
"53","AZA",33.30777778,-111.65555556,657172
"54","AZO",42.235416665,-85.55263889,121846
"55","B19",43.46416667,-70.4725,2
"56","BAD",32.501888886,-93.662611112,171
"57","BAF",42.158444448,-72.715944442,954
"58","BCE",37.70638889,-112.145277775,NA
"59","BCT",26.37083333,-80.10833333,NA
"60","BDL",41.938703705,-72.683287035,2897480
"61","BDR",41.16375,-73.125277775,42
"62","BDY",43.086944445,-124.408055555,8
"63","BED",42.470166666,-71.289222224,4047
"64","BFD",41.80263889,-78.63972222,3436
"65","BFF",41.87490741,-103.59925926,4255
"66","BFI",47.529444445,-122.30069444,15102
"67","BFL",35.4325,-119.055555556667,120580
"68","BFM",30.62652778,-88.06805556,2125
"69","BFT",32.41208333,-80.63458333,173
"70","BGM",42.207055554,-75.97761111,77639
"71","BGR",44.80763889,-68.82791667,238110
"72","BHB",44.449305555,-68.36166667,7952
"73","BHM",33.5632638925,-86.754722225,1324919
"74","BID",41.167361115,-71.578472225,12401
"75","BIF",31.84944444,-106.37972222,1099
"76","BIL",45.8075,-108.543055556667,419844
"77","BIS",46.775833335,-100.749166665,262405
"78","BJC",39.90888889,-105.11722222,15
"79","BJI",47.5098611075,-94.934166665,24763
"80","BKG",36.53194444,-93.20055556,4192
"81","BKL",41.5175,-81.68311111,2455
"82","BKW",37.78458333,-81.12416667,2319
"83","BLD",35.947444444,-114.861055556,71092
