"","ORIGIN","DEST","PASSENGERS"
"1","1B1","ACK",5
"2","1G4","BLD",48488
"3","1G4","DQS",158
"4","1G4","GCN",79
"5","1G4","L41",24
"6","1G4","NV3",13
"7","1G4","VGT",11064
"8","1N7","HPN",2
"9","1NY","HPN",7
"10","6B0","ACK",2
"11","ABE","ATL",46468
"12","ABE","BWI",1
"13","ABE","CAE",10
"14","ABE","CHA",2
"15","ABE","CHS",74
"16","ABE","CLT",49719
"17","ABE","DAB",159
"18","ABE","DTW",37527
"19","ABE","EWR",350
"20","ABE","GPT",106
"21","ABE","GSO",35
"22","ABE","GSP",151
"23","ABE","HPN",2
"24","ABE","IAD",1893
"25","ABE","IND",76
"26","ABE","JAN",2
"27","ABE","JFK",5
"28","ABE","LAS",97
"29","ABE","LGA",278
"30","ABE","MCI",485
"31","ABE","MCO",8654
"32","ABE","MDT",43
"33","ABE","MYR",8140
"34","ABE","OMA",33
"35","ABE","ORD",40183
"36","ABE","PGD",3227
"37","ABE","PHL",34683
"38","ABE","PIE",22594
"39","ABE","RDU",2
"40","ABE","ROA",156
"41","ABE","SAV",144
"42","ABE","SBN",36
"43","ABE","SFB",44279
"44","ABE","SRQ",39
"45","ABE","TPA",158
"46","ABE","TRI",14
"47","ABE","TYS",1
"48","ABE","UTM",471
"49","ABI","AMA",150
"50","ABI","BUR",6
"51","ABI","DFW",80815
"52","ABI","ENV",710
"53","ABI","IFP",839
"54","ABI","MAF",19
"55","ABI","SJT",53
"56","ABI","UTM",24
"57","ABQ","ABI",1
"58","ABQ","ALB",576
"59","ABQ","AMA",41
"60","ABQ","ATL",132941
"61","ABQ","AUS",7383
"62","ABQ","BDL",555
"63","ABQ","BHM",1
"64","ABQ","BIL",2
"65","ABQ","BKG",76
"66","ABQ","BNA",2096
"67","ABQ","BOI",180
"68","ABQ","BOS",2079
"69","ABQ","BUF",167
"70","ABQ","BUR",4329
"71","ABQ","BWI",70408
"72","ABQ","CAK",1
"73","ABQ","CHS",18
"74","ABQ","CID",1
"75","ABQ","CLE",77
"76","ABQ","CLL",42
"77","ABQ","CLT",914
"78","ABQ","CMH",277
"79","ABQ","CNM",2519
"80","ABQ","COS",292
"81","ABQ","CRP",299
"82","ABQ","CYS",131
"83","ABQ","DAL",189905
"84","ABQ","DAY",611
"85","ABQ","DCA",59
"86","ABQ","DEN",252485
"87","ABQ","DFW",286540
"88","ABQ","DSM",174
"89","ABQ","DTW",568
"90","ABQ","ECP",168
"91","ABQ","EGE",1
"92","ABQ","ELP",501
"93","ABQ","ENV",438
"94","ABQ","EWR",875
"95","ABQ","EYW",60
"96","ABQ","FAR",19
"97","ABQ","FAT",190
"98","ABQ","FLL",243
"99","ABQ","FNL",279
"100","ABQ","FNT",10
"101","ABQ","FSD",20
"102","ABQ","GEG",836
"103","ABQ","GSP",7
"104","ABQ","HOU",94407
"105","ABQ","HPN",25
"106","ABQ","HRL",16
"107","ABQ","HSV",6
"108","ABQ","IAD",39597
"109","ABQ","IAH",74800
"110","ABQ","ICT",163
"111","ABQ","IFP",1413
"112","ABQ","IND",48
"113","ABQ","ISP",236
"114","ABQ","JAX",89
"115","ABQ","JFK",26946
"116","ABQ","LAM",1536
"117","ABQ","LAS",161913
"118","ABQ","LAX",164703
"119","ABQ","LBB",3
"120","ABQ","LGA",844
"121","ABQ","LGB",83
"122","ABQ","LGU",126
"123","ABQ","LIT",974
"124","ABQ","MAF",601
"125","ABQ","MCI",32116
"126","ABQ","MCO",22611
"127","ABQ","MDW",78218
"128","ABQ","MFE",33
"129","ABQ","MHT",606
"130","ABQ","MKE",114
"131","ABQ","MSN",153
"132","ABQ","MSP",51793
"133","ABQ","MSY",3009
"134","ABQ","OAK",71601
"135","ABQ","OKC",832
"136","ABQ","OMA",259
"137","ABQ","ONT",2000
"138","ABQ","ORD",66652
"139","ABQ","ORF",115
"140","ABQ","PDX",30147
"141","ABQ","PHL",1770
"142","ABQ","PHX",326880
"143","ABQ","PIT",1286
"144","ABQ","PVD",16
"145","ABQ","PWM",43
"146","ABQ","RDU",123
"147","ABQ","RNO",2080
"148","ABQ","ROC",17
"149","ABQ","RSW",1
"150","ABQ","SAF",24
"151","ABQ","SAN",69892
"152","ABQ","SAT",4359
"153","ABQ","SBA",49
"154","ABQ","SBN",19
"155","ABQ","SBP",22
"156","ABQ","SDF",105
"157","ABQ","SEA",50826
"158","ABQ","SFO",24844
"159","ABQ","SJC",4649
"160","ABQ","SJU",4
"161","ABQ","SLC",67104
