"","ORIGIN","DEST","PASSENGERS"
"1","1G4","DQS",5
"2","1G4","VGT",14137
"3","6B0","HPN",8
"4","ABE","ALO",95
"5","ABE","ATL",37483
"6","ABE","ATW",47
"7","ABE","AZO",16
"8","ABE","BHM",40
"9","ABE","BIF",51
"10","ABE","BNA",33
"11","ABE","CHS",23
"12","ABE","CID",22
"13","ABE","CLE",1341
"14","ABE","CLT",61654
"15","ABE","DAY",30
"16","ABE","DFW",151
"17","ABE","DLH",15
"18","ABE","DSM",107
"19","ABE","DTW",44923
"20","ABE","ERI",57
"21","ABE","FLL",7989
"22","ABE","FNT",10
"23","ABE","GPT",2
"24","ABE","GRB",22
"25","ABE","GSP",153
"26","ABE","HSV",12
"27","ABE","IAD",28955
"28","ABE","ICT",383
"29","ABE","ILM",2
"30","ABE","IND",99
"31","ABE","JAX",89
"32","ABE","JFK",142
"33","ABE","LBE",75
"34","ABE","LEX",50
"35","ABE","LGA",1214
"36","ABE","LIT",22
"37","ABE","MCI",30
"38","ABE","MCO",71890
"39","ABE","MDW",9
"40","ABE","MEM",22
"41","ABE","MKE",79
"42","ABE","MLI",1
"43","ABE","MSN",47
"44","ABE","MYR",8842
"45","ABE","ORD",72466
"46","ABE","PGD",4467
"47","ABE","PHL",46468
"48","ABE","PIE",20089
"49","ABE","PIT",2
"50","ABE","PUB",2
"51","ABE","RIC",32
"52","ABE","ROA",39
"53","ABE","RSW",151
"54","ABE","SFB",3413
"55","ABE","SRQ",2
"56","ABE","STL",2
"57","ABE","SVH",30
"58","ABE","TUL",37
"59","ABE","UTM",506
"60","ABE","VPS",2
"61","ABI","DFW",71272
"62","ABI","ELP",87
"63","ABI","ENV",726
"64","ABI","GGG",41
"65","ABI","IFP",993
"66","ABI","MCI",98
"67","ABI","SJT",49
"68","ABI","SLC",134
"69","ABI","SMO",3
"70","ABI","UTM",200
"71","ABQ","ALB",117
"72","ABQ","ALM",374
"73","ABQ","AMA",109
"74","ABQ","ATL",135930
"75","ABQ","AUS",14551
"76","ABQ","BDL",114
"77","ABQ","BFL",2
"78","ABQ","BHM",614
"79","ABQ","BIL",6
"80","ABQ","BNA",3377
"81","ABQ","BOI",679
"82","ABQ","BOS",939
"83","ABQ","BPT",50
"84","ABQ","BUF",66
"85","ABQ","BUR",2453
"86","ABQ","BWI",67548
"87","ABQ","CLE",218
"88","ABQ","CLT",554
"89","ABQ","CMH",10
"90","ABQ","CNM",2451
"91","ABQ","COS",300
"92","ABQ","CRP",20
"93","ABQ","CVG",797
"94","ABQ","CVN",2278
"95","ABQ","DAL",184151
"96","ABQ","DAY",255
"97","ABQ","DCA",127
"98","ABQ","DEN",311797
"99","ABQ","DFW",292616
"100","ABQ","DTW",1694
"101","ABQ","ECP",84
"102","ABQ","ELP",32815
"103","ABQ","ENV",726
"104","ABQ","EUG",143
"105","ABQ","EWR",327
"106","ABQ","FAT",186
"107","ABQ","FLL",1896
"108","ABQ","GEG",1645
"109","ABQ","GJT",70
"110","ABQ","GRK",7
"111","ABQ","GTF",4
"112","ABQ","HOB",328
"113","ABQ","HOU",75185
"114","ABQ","HPN",39
"115","ABQ","HRL",296
"116","ABQ","HSV",8
"117","ABQ","IAD",37746
"118","ABQ","IAH",102881
"119","ABQ","ICT",58
"120","ABQ","IDA",32
"121","ABQ","IFP",1493
"122","ABQ","IND",420
"123","ABQ","ISP",486
"124","ABQ","IYK",2
"125","ABQ","JAX",2
"126","ABQ","JFK",25
"127","ABQ","LAR",145
"128","ABQ","LAS",158922
"129","ABQ","LAX",145683
"130","ABQ","LBB",22776
"131","ABQ","LGA",2526
"132","ABQ","LGB",43
"133","ABQ","LIT",413
"134","ABQ","MAF",22366
"135","ABQ","MCI",36321
"136","ABQ","MCO",39571
"137","ABQ","MDW",73303
"138","ABQ","MEM",14
"139","ABQ","MFE",44
"140","ABQ","MHT",653
"141","ABQ","MKE",348
"142","ABQ","MLI",168
"143","ABQ","MOT",32
"144","ABQ","MRY",1
"145","ABQ","MSN",62
"146","ABQ","MSP",76737
"147","ABQ","MSY",1482
"148","ABQ","OAK",79535
"149","ABQ","OKC",709
"150","ABQ","OMA",276
"151","ABQ","ONT",1863
"152","ABQ","ORD",86697
"153","ABQ","ORF",147
"154","ABQ","PBI",130
"155","ABQ","PDX",30864
"156","ABQ","PHL",7301
"157","ABQ","PHX",368987
"158","ABQ","PIT",245
"159","ABQ","PSC",209
"160","ABQ","PSP",263
"161","ABQ","PUB",105
"162","ABQ","PVD",613
"163","ABQ","RDU",593
"164","ABQ","RIC",37
"165","ABQ","RNO",3232
"166","ABQ","RSW",76
"167","ABQ","SAN",70612
"168","ABQ","SAT",10879
"169","ABQ","SBA",6
"170","ABQ","SBP",350
"171","ABQ","SDF",14
"172","ABQ","SEA",52715
"173","ABQ","SFO",22064
"174","ABQ","SJC",3533
"175","ABQ","SLC",112717
"176","ABQ","SMF",8672
"177","ABQ","SNA",5353
"178","ABQ","STL",29530
"179","ABQ","SVC",1526
"180","ABQ","TLH",53
"181","ABQ","TPA",10442
"182","ABQ","TUL",1849
"183","ABQ","TUS",50197
"184","ABQ","UTM",104
"185","ABR","ATY",11
"186","ABR","MSP",20076
"187","ABY","ATL",35302
"188","ABY","GLH",73
"189","ABY","LEX",1
"190","ACK","BDL",36
"191","ACK","BDR",8
"192","ACK","BOS",29505
"193","ACK","CT1",1
"194","ACK","DCA",5248
"195","ACK","EWB",8414
"196","ACK","EWR",4832
"197","ACK","FRG",9
"198","ACK","HFD",2
"199","ACK","HPN",2352
"200","ACK","HTO",13
"201","ACK","HVN",6
"202","ACK","HYA",31819
"203","ACK","ISP",2
"204","ACK","JFK",17872
"205","ACK","LGA",3271
"206","ACK","MMU",32
"207","ACK","MVY",4017
"208","ACK","OWD",6
"209","ACK","OXC",18
"210","ACK","PHL",3
"211","ACK","PVD",3136
"212","ACK","TEB",817
"213","ACK","ZXU",4
"214","ACT","BDL",50
"215","ACT","COU",34
"216","ACT","DEN",207
"217","ACT","DFW",45735
"218","ACT","EUG",73
"219","ACT","FOE",172
"220","ACT","GLH",43
"221","ACT","IAH",13471
"222","ACT","IFP",230
"223","ACT","LAN",35
"224","ACT","MCI",111
"225","ACT","MEM",86
"226","ACT","MHK",256
"227","ACT","MSP",32
"228","ACT","MSY",111
"229","ACT","OAK",89
"230","ACT","OKC",174
"231","ACT","SDF",28
"232","ACT","SWO",230
"233","ACT","TUP",49
"234","ACT","TYS",35
"235","ACT","UTM",99
"236","ACV","ABQ",6
"237","ACV","BLI",20
"238","ACV","CEC",601
"239","ACV","LAX",25936
"240","ACV","PHX",2
"241","ACV","PSP",3
"242","ACV","RDD",1799
"243","ACV","SEA",5238
"244","ACV","SFO",53116
"245","ACV","SMF",6669
"246","ACY","ABE",2
"247","ACY","AGS",1355
"248","ACY","ALB",1478
"249","ACY","ATL",57181
"250","ACY","ATW",119
"251","ACY","BHM",173
"252","ACY","BNA",233
"253","ACY","BOS",41512
"254","ACY","BQN",106
"255","ACY","BUF",2633
"256","ACY","CAE",736
"257","ACY","CAK",1812
"258","ACY","CEF",490
"259","ACY","CHS",584
"260","ACY","CLE",4517
"261","ACY","CLT",2986
"262","ACY","CMH",1010
"263","ACY","CON",30
"264","ACY","CRW",336
"265","ACY","CVG",570
"266","ACY","CWA",232
"267","ACY","DAB",855
"268","ACY","DAY",937
"269","ACY","DFW",206
"270","ACY","DTW",19209
"271","ACY","ERI",807
"272","ACY","FAY",1575
"273","ACY","FLL",145183
"274","ACY","FRG",1379
"275","ACY","FWA",182
"276","ACY","GRB",118
"277","ACY","GRR",773
"278","ACY","GSO",3431
"279","ACY","GYY",110
"280","ACY","HPN",35
"281","ACY","IAD",688
"282","ACY","IAH",279
"283","ACY","ICT",119
"284","ACY","IND",172
"285","ACY","ISO",1682
"286","ACY","JAX",50
"287","ACY","JST",215
"288","ACY","LBE",1971
"289","ACY","LNK",147
"290","ACY","LUK",46
"291","ACY","LYH",66
"292","ACY","MCI",121
"293","ACY","MCO",138960
"294","ACY","MHT",1292
"295","ACY","MKE",64
"296","ACY","MOB",121
"297","ACY","MSN",70
"298","ACY","MSP",124
"299","ACY","MSY",190
"300","ACY","MYR",61230
"301","ACY","OKC",88
"302","ACY","ORD",569
"303","ACY","ORF",234
"304","ACY","ORH",100
"305","ACY","OXC",6
"306","ACY","PBI",21473
"307","ACY","PGV",445
"308","ACY","PHL",134
"309","ACY","PIE",806
"310","ACY","PIT",4592
"311","ACY","PVD",1425
"312","ACY","PWM",709
"313","ACY","RDU",2240
"314","ACY","RIC",1373
"315","ACY","RME",630
"316","ACY","ROA",1080
"317","ACY","ROC",1358
"318","ACY","RSW",65517
"319","ACY","RWI",30
"320","ACY","SAT",118
"321","ACY","SAV",510
"322","ACY","SDF",826
"323","ACY","SJU",434
"324","ACY","STL",191
"325","ACY","SYR",2202
"326","ACY","TOL",883
"327","ACY","TPA",50790
"328","ACY","TRI",931
"329","ACY","TYS",1301
"330","ACY","VNY",1
"331","ACY","YIP",32
"332","ACY","YNG",3482
"333","ADW","ABQ",32
"334","ADW","AUS",25
"335","ADW","AVL",23
"336","ADW","BFI",85
"337","ADW","CID",31
"338","ADW","CLE",31
"339","ADW","CLT",30
"340","ADW","CMH",25
"341","ADW","DEN",39
"342","ADW","DSM",72
"343","ADW","DTW",134
"344","ADW","ECP",27
"345","ADW","GRR",27
"346","ADW","LAS",25
"347","ADW","MCF",33
"348","ADW","MHT",33
"349","ADW","MIA",72
"350","ADW","MKE",63
"351","ADW","NGU",72
"352","ADW","NPA",33
"353","ADW","POB",35
"354","ADW","PWM",28
"355","ADW","STL",29
"356","ADW","SVN",34
"357","ADW","YNG",27
"358","AEX","ATL",44151
"359","AEX","AZA",17
"360","AEX","CAE",16
"361","AEX","COS",521
"362","AEX","CRW",7
"363","AEX","CSG",1035
"364","AEX","CYS",608
"365","AEX","DAL",48
"366","AEX","DFW",32097
"367","AEX","DPG",214
"368","AEX","DQK",123
"369","AEX","ELP",143
