"","AIRPORT","LATITUDE","LONGITUDE","PASSENGERS"
"1","1G4",35.988194445,-113.816666665,42
"2","1N7",40.97111111,-74.9975,2
"3","ABE",40.65272222,-75.440000002,385030
"4","ABI",32.4106481466667,-99.68111111,87666
"5","ABQ",35.040000002,-106.608277778,3154300
"6","ABR",45.4482870383333,-98.422175925,23191
"7","ABY",31.53388889,-84.195277775,39128
"8","ACK",41.253777782,-70.060055556,144368
"9","ACT",31.611805555,-97.229444445,68323
"10","ACV",40.978101855,-124.108287035,106478
"11","ACY",39.456944445,-74.57777778,526526
"12","ADS",32.96847222,-96.83625,10
"13","ADW",38.81083333,-76.866999996,461
"14","AEX",31.325833335,-92.547777775,125030
"15","AFW",32.9884126985714,-97.31892857,617
"16","AGC",40.3545370333333,-79.9298148166667,9
"17","AGS",33.3694444466667,-81.96444444,175588
"18","AHN",33.948555554,-83.326277776,3343
"19","AIA",42.052999998,-102.804333334,1786
"20","AID",40.10861111,-85.61305556,1
"21","AL2",33.17736111,-86.783055555,4
"22","ALB",42.7475,-73.80361111,1358108
"23","ALM",32.8399999983333,-105.990370371667,215
"24","ALO",42.556527775,-92.4,26801
"25","ALS",37.435333334,-105.867111114,7133
"26","ALW",46.094944444,-118.28811111,29582
"27","AMA",35.2246296266667,-101.71657407,453286
"28","AMW",41.993055555,-93.620138885,22
"29","ANB",33.588500004,-85.857611114,366
"30","AND",34.494027775,-82.70972222,358
"31","ANP",38.94277778,-76.56861111,1
"32","AOO",40.296805555,-78.32,9706
"33","APA",39.571458335,-104.84861111,NA
"34","APC",38.21263889,-122.28027778,6
"35","APF",26.152444444,-81.775611112,2003
"36","APN",45.079861115,-83.558055555,7416
"37","ARA",30.0376851866667,-91.88388889,128
"38","ART",43.991722218,-76.020277778,510
"39","ASE",39.222833334,-106.868666666,212331
"40","AST",46.15888889,-123.879305555,18
"41","ATL",33.6384523814286,-84.4276190485714,38841127
"42","ATW",44.258000004,-88.519333336,258394
"43","ATY",44.9105555566667,-97.1543518533333,4966
"44","AUG",44.31930556,-69.796944445,3245
"45","AUO",32.61513889,-85.432916665,8
"46","AUS",30.24625,-97.685694445,4256011
"47","AVL",35.43522222,-82.54211111,281942
"48","AVP",41.33861111,-75.72383333,219669
"49","AZ3",33.52708333,-112.29527778,109
"50","AZA",33.30777778,-111.65555556,181498
"51","AZO",42.235416665,-85.55263889,168609
"52","BAD",32.501888886,-93.662611112,168
"53","BAF",42.158444448,-72.715944442,384
"54","BCT",26.37083333,-80.10833333,18
"55","BDL",41.938703705,-72.683287035,2938388
"56","BDR",41.16375,-73.125277775,81
"57","BED",42.470166666,-71.289222224,6301
"58","BFD",41.80263889,-78.63972222,4849
"59","BFF",41.87490741,-103.59925926,10429
"60","BFI",47.529444445,-122.30069444,32123
"61","BFL",35.4325,-119.055555556667,136989
"62","BFM",30.62652778,-88.06805556,363
"63","BFT",32.41208333,-80.63458333,207
"64","BGM",42.207055554,-75.97761111,105360
"65","BGR",44.80763889,-68.82791667,178190
"66","BHB",44.449305555,-68.36166667,10023
"67","BHM",33.5632638925,-86.754722225,1622248
"68","BID",41.167361115,-71.578472225,10296
"69","BIF",31.84944444,-106.37972222,1654
"70","BIL",45.8075,-108.543055556667,421540
"71","BIS",46.775833335,-100.749166665,177440
"72","BJC",39.90888889,-105.11722222,80
"73","BJI",47.5098611075,-94.934166665,21985
"74","BKL",41.5175,-81.68311111,1595
"75","BKW",37.78458333,-81.12416667,3587
"76","BLD",35.947444444,-114.861055556,29753
"77","BLF",37.29583333,-81.20791667,3
"78","BLI",48.79361111,-122.53611111,277069
"79","BLM",40.18666667,-74.12472222,502
"80","BLV",38.54402778,-89.843194445,25322
"81","BMG",39.1420370366667,-86.61537037,995
"82","BMI",40.47958333,-88.921666665,262363
"83","BNA",36.125555555,-86.68,4617653
"84","BNO",43.59125,-118.954861115,9
"85","BOI",43.56486111,-116.22388889,1572746
"86","BOS",42.363333335,-71.00625,11034765
"87","BPT",29.95083333,-94.02013889,27859
"88","BQK",31.2589814833333,-81.46638889,29571
"89","BQN",18.4951851833333,-67.1296296266667,236952
"90","BRD",46.4011904771429,-94.1355555571429,16636
"91","BRL",40.78472222,-91.124444445,2544
"92","BRO",25.907444442,-97.426444444,82532
"93","BTL",42.30777778,-85.24888889,132
