"","ORIGIN","DEST","PASSENGERS"
"1","1B1","HTO",4
"2","1G4","BLD",50540
"3","1G4","DQS",83
"4","1G4","GCN",131
"5","1G4","L41",26
"6","1G4","MFH",88
"7","1G4","NV2",626
"8","1G4","PGA",867
"9","1G4","UXR",18
"10","1G4","VGT",8919
"11","6B0","HPN",1
"12","ABE","ACK",6
"13","ABE","AGS",1
"14","ABE","ATL",42697
"15","ABE","BHM",5
"16","ABE","CHS",19
"17","ABE","CLE",16
"18","ABE","CLT",51595
"19","ABE","CRW",12
"20","ABE","DAY",6
"21","ABE","DSM",4
"22","ABE","DTW",44006
"23","ABE","EWN",18
"24","ABE","EWR",125
"25","ABE","FSD",123
"26","ABE","GRB",1
"27","ABE","GRR",1
"28","ABE","GSO",82
"29","ABE","GSP",23
"30","ABE","IAD",30757
"31","ABE","ICT",144
"32","ABE","IND",156
"33","ABE","JAX",107
"34","ABE","LEX",27
"35","ABE","LGA",971
"36","ABE","LIT",3
"37","ABE","LYH",118
"38","ABE","MCO",44581
"39","ABE","MDT",28
"40","ABE","MEM",2
"41","ABE","MSY",333
"42","ABE","MYR",6869
"43","ABE","OMA",3
"44","ABE","ORD",38626
"45","ABE","ORF",1
"46","ABE","PGD",2067
"47","ABE","PHF",108
"48","ABE","PHL",34997
"49","ABE","PIA",5
"50","ABE","PIE",20232
"51","ABE","RDU",7
"52","ABE","SAT",43
"53","ABE","SAV",87
"54","ABE","SFB",27772
"55","ABE","SGF",3
"56","ABE","SRQ",2
"57","ABE","TYS",25
"58","ABE","UTM",469
"59","ABI","AMA",50
"60","ABI","CRP",62
"61","ABI","DFW",72431
"62","ABI","ENV",926
"63","ABI","GGG",80
"64","ABI","IFP",500
"65","ABI","MEI",102
"66","ABI","SHV",74
"67","ABI","SJT",196
"68","ABI","SPS",45
"69","ABI","UTM",46
"70","ABQ","ACT",121
"71","ABQ","ACV",5
"72","ABQ","ALB",1103
"73","ABQ","ALM",103
"74","ABQ","ALS",22
"75","ABQ","AMA",13
"76","ABQ","ASE",5
"77","ABQ","ATL",135507
"78","ABQ","AUS",17340
"79","ABQ","BDL",670
"80","ABQ","BED",84
"81","ABQ","BFL",81
"82","ABQ","BHM",54
"83","ABQ","BIL",1
"84","ABQ","BIS",5
"85","ABQ","BNA",2399
"86","ABQ","BOI",1026
"87","ABQ","BOS",838
"88","ABQ","BUF",2
"89","ABQ","BUR",2061
"90","ABQ","BWI",62948
"91","ABQ","CEC",1
"92","ABQ","CHS",50
"93","ABQ","CID",1
"94","ABQ","CMH",36
"95","ABQ","CNM",2592
"96","ABQ","COS",152
"97","ABQ","CRP",131
"98","ABQ","CVN",1828
"99","ABQ","DAL",177586
"100","ABQ","DAY",65
"101","ABQ","DCA",547
"102","ABQ","DEN",273015
"103","ABQ","DFW",284491
"104","ABQ","DSM",74
"105","ABQ","DTW",462
"106","ABQ","ECP",199
"107","ABQ","ELP",27430
"108","ABQ","ENV",762
"109","ABQ","EWR",852
"110","ABQ","FAT",201
"111","ABQ","FLL",2144
"112","ABQ","FSD",170
"113","ABQ","GEG",702
"114","ABQ","GSP",15
"115","ABQ","HOU",87522
"116","ABQ","HRL",264
"117","ABQ","IAD",39887
"118","ABQ","IAH",86973
"119","ABQ","ICT",31
"120","ABQ","IFP",1476
"121","ABQ","IND",607
"122","ABQ","ISP",269
"123","ABQ","JAN",61
"124","ABQ","JAX",181
"125","ABQ","LAR",128
"126","ABQ","LAS",160906
"127","ABQ","LAX",173578
"128","ABQ","LBB",10473
"129","ABQ","LGA",2101
"130","ABQ","LGB",10
"131","ABQ","LIT",992
"132","ABQ","LRD",102
"133","ABQ","MAF",12923
"134","ABQ","MCI",32288
"135","ABQ","MCO",22945
"136","ABQ","MDW",76335
"137","ABQ","MHT",679
"138","ABQ","MKE",39
"139","ABQ","MLI",6
"140","ABQ","MRY",4
"141","ABQ","MSN",208
"142","ABQ","MSO",105
"143","ABQ","MSP",61470
"144","ABQ","MSY",1914
"145","ABQ","NFL",1
"146","ABQ","OAK",78639
"147","ABQ","OKC",496
"148","ABQ","OMA",390
"149","ABQ","ONT",3143
"150","ABQ","OPF",2
"151","ABQ","ORD",61580
"152","ABQ","ORF",718
"153","ABQ","PBI",10
"154","ABQ","PDX",30369
"155","ABQ","PHL",944
"156","ABQ","PHX",325250
"157","ABQ","PIT",9
"158","ABQ","PSP",58
"159","ABQ","PVD",189
"160","ABQ","PVU",1
"161","ABQ","RAP",3
"162","ABQ","RDU",353
"163","ABQ","RFD",1
"164","ABQ","RNO",2500
"165","ABQ","RSW",34
"166","ABQ","SAN",72012
"167","ABQ","SAT",15555
"168","ABQ","SBA",5
"169","ABQ","SDF",79
"170","ABQ","SEA",53466
"171","ABQ","SFO",22026
"172","ABQ","SJC",6198
"173","ABQ","SLC",76294
"174","ABQ","SMF",8946
"175","ABQ","SNA",4462
"176","ABQ","STL",33977
"177","ABQ","SVC",1295
"178","ABQ","TPA",7867
"179","ABQ","TUL",696
"180","ABQ","TUS",48620
"181","ABQ","TYS",4
"182","ABR","MSP",24763
"183","ABY","ATL",33441
"184","ACK","BBX",13
"185","ACK","BDR",91
"186","ACK","BED",89
"187","ACK","BHB",11
"188","ACK","BLM",4
"189","ACK","BOS",32719
"190","ACK","BTV",2
"191","ACK","BVY",18
"192","ACK","CON",20
"193","ACK","DCA",4594
"194","ACK","EWB",7999
"195","ACK","EWR",7214
"196","ACK","FID",1
"197","ACK","FOK",11
"198","ACK","FRG",27
"199","ACK","FTY",2
"200","ACK","GAI",11
"201","ACK","GON",4
"202","ACK","HFD",1
