"","ORIGIN","DEST","PASSENGERS"
"1","1G4","BLD",24757
"2","1G4","DQS",4
"3","1G4","GCN",45
"4","6B0","BED",3
"5","6B0","BOS",5
"6","6B0","HTO",6
"7","6B0","LEB",2
"8","6B0","TEB",5
"9","ABE","ATL",71238
"10","ABE","AVL",1
"11","ABE","AVP",1
"12","ABE","BHM",4
"13","ABE","BWI",86
"14","ABE","CHS",8
"15","ABE","CLE",64
"16","ABE","CLT",46145
"17","ABE","DTW",38832
"18","ABE","EWR",182
"19","ABE","FWA",1
"20","ABE","GPT",523
"21","ABE","GSO",1
"22","ABE","GSP",10
"23","ABE","HPN",129
"24","ABE","HTO",2
"25","ABE","IFP",394
"26","ABE","LAS",118
"27","ABE","LGA",22
"28","ABE","MCO",157
"29","ABE","MLB",1
"30","ABE","MYR",10223
"31","ABE","ORD",34118
"32","ABE","PGD",22129
"33","ABE","PHL",27072
"34","ABE","PIE",21380
"35","ABE","SFB",49963
"36","ABE","TEB",3
"37","ABE","UTM",204
"38","ABI","ACT",35
"39","ABI","APF",1
"40","ABI","COS",136
"41","ABI","DFW",82324
"42","ABI","ENV",588
"43","ABI","FNL",110
"44","ABI","IFP",447
"45","ABI","LBB",130
"46","ABI","MAF",60
"47","ABI","MRY",1
"48","ABI","OKC",155
"49","ABI","PDX",86
"50","ABQ","ALB",59
"51","ABQ","ALS",216
"52","ABQ","AMA",45
"53","ABQ","ATL",138951
"54","ABQ","AUS",12079
"55","ABQ","BDL",17
"56","ABQ","BHM",492
"57","ABQ","BNA",630
"58","ABQ","BOI",473
"59","ABQ","BOS",1290
"60","ABQ","BUF",165
"61","ABQ","BUR",2314
"62","ABQ","BWI",75429
"63","ABQ","CHS",142
"64","ABQ","CLE",157
"65","ABQ","CLT",690
"66","ABQ","CMH",121
"67","ABQ","CNM",1411
"68","ABQ","CRP",199
"69","ABQ","DAL",158905
"70","ABQ","DAY",18
"71","ABQ","DCA",5226
"72","ABQ","DEN",216768
"73","ABQ","DFW",254525
"74","ABQ","DSM",13
"75","ABQ","DTW",221
"76","ABQ","ECP",34
"77","ABQ","ELP",250
"78","ABQ","ENV",727
"79","ABQ","EWR",101
"80","ABQ","FAR",5
"81","ABQ","FAT",137
"82","ABQ","FLL",599
"83","ABQ","FNT",3
"84","ABQ","FSD",150
"85","ABQ","GEG",413
"86","ABQ","GPT",64
"87","ABQ","GRR",83
"88","ABQ","HOU",108206
"89","ABQ","HRL",5
"90","ABQ","IAD",248
"91","ABQ","IAH",84723
"92","ABQ","ICT",303
"93","ABQ","IFP",833
"94","ABQ","IND",838
"95","ABQ","ISP",2
"96","ABQ","JAX",17
"97","ABQ","JFK",42306
"98","ABQ","LAM",422
"99","ABQ","LAR",133
"100","ABQ","LAS",145447
"101","ABQ","LAX",169862
"102","ABQ","LBB",55
"103","ABQ","LGA",189
"104","ABQ","LGB",548
"105","ABQ","LIT",3
"106","ABQ","LRD",145
"107","ABQ","MAF",58
"108","ABQ","MCI",37608
"109","ABQ","MCO",15518
"110","ABQ","MDW",86404
"111","ABQ","MEM",242
"112","ABQ","MHT",616
"113","ABQ","MKE",70
"114","ABQ","MLU",133
"115","ABQ","MSP",32508
"116","ABQ","MSY",2033
"117","ABQ","OAK",82577
"118","ABQ","OGD",140
"119","ABQ","OKC",45
"120","ABQ","OMA",307
"121","ABQ","ONT",455
"122","ABQ","ORD",65017
"123","ABQ","ORF",68
"124","ABQ","PBI",13
"125","ABQ","PDX",25928
"126","ABQ","PHL",906
"127","ABQ","PHX",319474
"128","ABQ","PIT",27
"129","ABQ","PNS",7
"130","ABQ","PVD",346
"131","ABQ","RDU",464
"132","ABQ","RNO",1293
"133","ABQ","ROW",84
"134","ABQ","RSW",55
"135","ABQ","SAN",72175
"136","ABQ","SAT",2095
"137","ABQ","SBA",55
"138","ABQ","SBP",4
"139","ABQ","SDF",96
"140","ABQ","SEA",56321
"141","ABQ","SFO",20283
"142","ABQ","SJC",4010
"143","ABQ","SJU",11
"144","ABQ","SLC",75871
"145","ABQ","SMF",1700
"146","ABQ","SNA",1433
"147","ABQ","STL",918
"148","ABQ","SVC",3753
"149","ABQ","TPA",1330
"150","ABQ","TUL",318
"151","ABQ","TUS",509
"152","ABR","IFP",174
"153","ABR","MSP",26355
"154","ABY","ATL",34181
"155","ABY","DHN",42
"156","ACK","ALB",1
"157","ACK","AUG",3
"158","ACK","BDL",6
"159","ACK","BDR",61
"160","ACK","BED",13
"161","ACK","BLM",2
"162","ACK","BNA",1
"163","ACK","BOS",39163
"164","ACK","BVY",2
"165","ACK","DCA",10426
"166","ACK","DXR",6
"167","ACK","EWB",5555
"168","ACK","EWR",3161
"169","ACK","HPN",4662
"170","ACK","HTO",12
"171","ACK","HYA",19339
"172","ACK","IAD",5
"173","ACK","IAG",3
"174","ACK","JFK",36119
"175","ACK","LCI",2
"176","ACK","LGA",2390
"177","ACK","MCW",5
"178","ACK","ME4",4
"179","ACK","MMU",20
"180","ACK","MVY",2114
"181","ACK","OXC",20
"182","ACK","PSF",1
"183","ACK","PVC",2
"184","ACK","RDU",1
"185","ACK","SLK",10
"186","ACK","SUA",3
"187","ACK","TEB",2382
"188","ACK","VWK",4
"189","ACK","WWD",1
"190","ACT","ABI",35
"191","ACT","CKB",369
"192","ACT","CVG",45
"193","ACT","DAL",4
"194","ACT","DFW",60929
"195","ACT","DSM",219
"196","ACT","ENV",293
"197","ACT","FAR",37
"198","ACT","FOE",214
"199","ACT","GPT",382
"200","ACT","IFP",414
"201","ACT","LBB",27
"202","ACT","LGA",74
"203","ACT","MHK",284
"204","ACT","MKC",114
"205","ACT","OKC",147
"206","ACT","PHX",293
"207","ACT","PVD",110
"208","ACT","SHV",82
"209","ACT","STL",82
"210","ACT","SWO",138
"211","ACV","BUR",113
"212","ACV","PDX",7615
"213","ACV","RDD",465
"214","ACV","RDM",8
"215","ACV","SFO",61531
"216","ACY","AGC",29
"217","ACY","AGS",418
"218","ACY","ALB",384
"219","ACY","ATL",23895
"220","ACY","BGR",63
"221","ACY","BKW",2
"222","ACY","BOS",13993
"223","ACY","BUF",483
"224","ACY","BVY",4
"225","ACY","BWI",18
"226","ACY","CAE",54
"227","ACY","CAK",30
"228","ACY","CEF",784
"229","ACY","CHA",196
"230","ACY","CHO",20
"231","ACY","CHS",48
"232","ACY","CLE",1412
"233","ACY","CLT",930
"234","ACY","CMH",516
"235","ACY","CRW",197
"236","ACY","CVG",165
"237","ACY","DAY",252
"238","ACY","DTW",14035
"239","ACY","EWR",27
"240","ACY","FAY",886
"241","ACY","FLL",144503
"242","ACY","FOK",1
"243","ACY","FRG",2019
"244","ACY","FWA",148
"245","ACY","GRR",28
"246","ACY","GSO",1126
"247","ACY","GSP",553
"248","ACY","IAD",68
"249","ACY","IAH",3
"250","ACY","ILM",176
"251","ACY","ISO",451
"252","ACY","ISP",90
"253","ACY","JAX",178
"254","ACY","LBE",1006
"255","ACY","LYH",92
"256","ACY","MBS",19
"257","ACY","MCO",119484
"258","ACY","MDT",60
"259","ACY","MHT",283
"260","ACY","MYR",53037
"261","ACY","ORD",16218
"262","ACY","ORF",775
"263","ACY","PBI",27604
"264","ACY","PGV",115
"265","ACY","PIT",1237
"266","ACY","PVD",431
"267","ACY","PWM",370
"268","ACY","RDU",1409
"269","ACY","RIC",1219
"270","ACY","ROA",194
"271","ACY","ROC",133
"272","ACY","RSW",84140
"273","ACY","RWI",235
"274","ACY","SDF",398
"275","ACY","SFB",373
"276","ACY","SYR",730
"277","ACY","TPA",57761
"278","ACY","TRI",238
"279","ACY","TYS",112
"280","ACY","YNG",885
"281","ADS","BUR",4
"282","ADS","CRP",2
"283","ADS","FYV",2
"284","ADS","HOU",2
"285","ADS","HPN",1
"286","ADS","TN8",1
"287","AEX","ATL",51617
"288","AEX","AZA",199
"289","AEX","BED",556
"290","AEX","BRO",197
"291","AEX","BTR",39
"292","AEX","CSG",366
"293","AEX","DFW",35436
"294","AEX","ELP",2995
"295","AEX","EWR",23
"296","AEX","GYY",48
"297","AEX","HSV",2
"298","AEX","IAG",367
"299","AEX","IAH",23729
"300","AEX","MIA",2
"301","AEX","MLU",114
"302","AEX","MSP",16
"303","AEX","OAK",98
"304","AEX","SAT",47
"305","AEX","SWF",386
"306","AFW","IND",328
"307","AFW","JQF",1241
"308","AFW","MQY",152
"309","AFW","PIB",148
"310","AGC","CLE",29
"311","AGC","FRG",9
"312","AGC","TEB",7
"313","AGC","TTN",13
"314","AGS","ACY",82
"315","AGS","ATL",171286
"316","AGS","BNA",4
"317","AGS","BQK",60
"318","AGS","CAE",122
"319","AGS","CHS",172
"320","AGS","CLE",1
"321","AGS","CLT",93621
"322","AGS","DCA",1046
"323","AGS","DFW",311
"324","AGS","FTY",3
"325","AGS","FWA",7
"326","AGS","GPT",1008
"327","AGS","IFP",189
"328","AGS","LGA",800
"329","AGS","LYH",5
"330","AGS","MEM",101
"331","AGS","MLB",2
"332","AGS","MQY",15
"333","AGS","ORD",317
"334","AGS","ORF",3
"335","AGS","PHL",577
"336","AGS","PNS",5
"337","AGS","TPA",55
"338","AGS","UTM",30
"339","AHN","ABE",1
"340","AHN","ATL",29
"341","AHN","BNA",30
"342","AHN","CLL",44
"343","AHN","COU",159
"344","AHN","IAD",37
"345","AHN","IND",1
"346","AHN","JAX",154
"347","AHN","LEX",187
"348","AHN","MEM",158
"349","AHN","ORF",40
"350","AHN","QMA",48
"351","AHN","ROC",76
"352","AHN","TRI",37
"353","AHN","TYS",143
"354","AIA","CDR",3
"355","AIA","DEN",2136
"356","AIK","CNO",4
"357","AIK","TEB",1
"358","ALB","ABQ",69
"359","ALB","ACY",210
"360","ALB","ATL",122965
"361","ALB","AUS",719
"362","ALB","BHM",303
"363","ALB","BLM",5
