"","ORIGIN","DEST","PASSENGERS"
"1","ABE","ATL",58637
"2","ABE","AVP",328
"3","ABE","BLV",8
"4","ABE","BNA",229
"5","ABE","CAK",12
"6","ABE","CLE",11455
"7","ABE","CLT",29226
"8","ABE","CMH",203
"9","ABE","CRW",31
"10","ABE","CVG",27467
"11","ABE","DAY",154
"12","ABE","DEN",195
"13","ABE","DFW",186
"14","ABE","DSM",155
"15","ABE","DTW",56001
"16","ABE","ERI",77
"17","ABE","GRB",60
"18","ABE","GRR",19
"19","ABE","GSP",108
"20","ABE","GYY",811
"21","ABE","IAD",45
"22","ABE","IAH",14
"23","ABE","ICT",14
"24","ABE","IFP",100
"25","ABE","IND",163
"26","ABE","LAN",15
"27","ABE","MBS",54
"28","ABE","MCI",53
"29","ABE","MCO",69895
"30","ABE","MDT",1653
"31","ABE","MEM",28
"32","ABE","MIA",226
"33","ABE","MKE",27
"34","ABE","MSP",76
"35","ABE","OAK",19
"36","ABE","OMA",15
"37","ABE","ORD",61453
"38","ABE","PHL",1
"39","ABE","PHX",190
"40","ABE","PIT",84949
"41","ABE","PNS",47
"42","ABE","PSM",867
"43","ABE","ROA",32
"44","ABE","SBN",70
"45","ABE","SDF",147
"46","ABE","SMF",26
"47","ABE","STL",133
"48","ABE","TLH",131
"49","ABE","TOL",44
"50","ABE","TPA",397
"51","ABI","DFW",44623
"52","ABI","EKO",1707
"53","ABI","IAH",10458
"54","ABQ","ACT",84
"55","ABQ","ALB",62
"56","ABQ","AMA",34581
"57","ABQ","ATL",96325
"58","ABQ","AUS",89
"59","ABQ","BDL",55
"60","ABQ","BIL",86
"61","ABQ","BNA",271
"62","ABQ","BOI",549
"63","ABQ","BOS",2479
"64","ABQ","BUR",4907
"65","ABQ","BWI",3663
"66","ABQ","BZN",227
"67","ABQ","CLE",285
"68","ABQ","CMH",1102
"69","ABQ","COS",67
"70","ABQ","CVG",88311
"71","ABQ","DAL",211511
"72","ABQ","DCA",9761
"73","ABQ","DEN",250941
"74","ABQ","DFW",274980
"75","ABQ","DSM",49
"76","ABQ","DTW",974
"77","ABQ","EKO",970
"78","ABQ","ELP",70861
"79","ABQ","EUG",101
"80","ABQ","EWR",6967
"81","ABQ","FCA",103
"82","ABQ","FSD",98
"83","ABQ","GEG",1980
"84","ABQ","GRR",340
"85","ABQ","GSO",136
"86","ABQ","HOU",50765
"87","ABQ","HRL",953
"88","ABQ","HSV",308
"89","ABQ","IAD",766
"90","ABQ","IAH",166149
"91","ABQ","ICT",25
"92","ABQ","IND",128
"93","ABQ","JAN",190
"94","ABQ","JFK",535
"95","ABQ","LAS",159459
"96","ABQ","LAX",159048
"97","ABQ","LBB",28939
"98","ABQ","LGA",4109
"99","ABQ","LGB",1008
"100","ABQ","LIT",1247
"101","ABQ","MAF",26563
"102","ABQ","MCI",54325
"103","ABQ","MCO",27901
"104","ABQ","MDW",30652
"105","ABQ","MEM",15
"106","ABQ","MIA",515
"107","ABQ","MLU",79
"108","ABQ","MSN",132
"109","ABQ","MSP",81130
"110","ABQ","MSY",1079
"111","ABQ","OAK",67723
"112","ABQ","OKC",3742
"113","ABQ","OMA",328
"114","ABQ","ONT",5809
"115","ABQ","ORD",76333
"116","ABQ","ORF",91
"117","ABQ","PBI",16
"118","ABQ","PDX",9593
"119","ABQ","PHL",965
"120","ABQ","PHX",513342
"121","ABQ","RDU",1138
"122","ABQ","RIC",820
"123","ABQ","RNO",10507
"124","ABQ","RSW",127
"125","ABQ","SAN",74636
"126","ABQ","SAT",23474
"127","ABQ","SAV",108
"128","ABQ","SDF",6
"129","ABQ","SEA",32223
"130","ABQ","SFO",4971
"131","ABQ","SHV",134
"132","ABQ","SJC",17803
"133","ABQ","SLC",55976
"134","ABQ","SMF",15942
"135","ABQ","SNA",739
"136","ABQ","STL",201730
"137","ABQ","SYR",158
"138","ABQ","TPA",26190
"139","ABQ","TUL",123
"140","ABQ","TUS",30597
"141","ABR","ATY",555
"142","ABR","MSP",23232
"143","ABR","PIR",125
"144","ABR","STC",5
"145","ABY","ATL",39326
"146","ABY","DHN",18
"147","ABY","MCN",7
"148","ABY","PFN",24
"149","ABY","VLD",9
"150","ACK","EWR",6298
"151","ACK","MVY",23
"152","ACT","AUS",422
"153","ACT","DFW",49544
"154","ACT","EKO",1906
"155","ACT","IAH",9530
"156","ACT","ILE",9
"157","ACV","PDX",6445
"158","ACV","RDD",1760
"159","ACV","SEA",3753
"160","ACV","YKM",4
"161","ACY","CLE",9212
"162","ACY","CMH",70
"163","ACY","FLL",57695
"164","ACY","MCO",68407
"165","ACY","MYR",25023
"166","ACY","PBI",34754
"167","ACY","RSW",44517
"168","ACY","TPA",43819
"169","ADW","DEN",46
"170","AEX","ACT",21
"171","AEX","ATL",13255
"172","AEX","BNA",24
"173","AEX","BQN",108
"174","AEX","COS",119
"175","AEX","DFW",42034
"176","AEX","EWR",19
"177","AEX","FLL",65
"178","AEX","FSM",13
"179","AEX","GNV",13
"180","AEX","GPT",7
"181","AEX","GTR",405
"182","AEX","IAH",23180
"183","AEX","LRD",645
"184","AEX","MDT",46
"185","AEX","MEI",20
"186","AEX","MEM",25
"187","AEX","MLU",11
"188","AEX","MSP",13
"189","AEX","OKC",10
"190","AEX","OMA",15
"191","AEX","OPF",190
"192","AEX","ORD",34
"193","AEX","POB",2393
"194","AEX","SJU",181
"195","AEX","SRQ",12
"196","AEX","SWF",70
"197","AEX","TOL",90
"198","AGS","ATL",162889
"199","AGS","CLE",405
"200","AGS","CVG",1148
"201","AGS","DCA",2
"202","AGS","IAD",94
"203","AGS","LGA",425
"204","AGS","MKE",102
"205","AGS","ORD",187
"206","AGS","SDF",101
"207","AKO","EKO",262
"208","ALB","ATL",115762
"209","ALB","AUS",523
"210","ALB","AZO",28
"211","ALB","BDL",39
"212","ALB","BNA",806
"213","ALB","BOI",10
"214","ALB","BOS",15195
"215","ALB","BWI",127910
"216","ALB","CAK",120
"217","ALB","CID",31
"218","ALB","CLE",24480
