"","ORIGIN","DEST","PASSENGERS"
"1","ABE","ATL",55559
"2","ABE","AUS",140
"3","ABE","AZO",21
"4","ABE","BHM",2
"5","ABE","BNA",241
"6","ABE","BOS",4899
"7","ABE","CAE",49
"8","ABE","CID",26
"9","ABE","CLE",8328
"10","ABE","CLT",32831
"11","ABE","CMH",28
"12","ABE","CRW",16
"13","ABE","CVG",30319
"14","ABE","DFW",72
"15","ABE","DSM",76
"16","ABE","DTW",48153
"17","ABE","FWA",5
"18","ABE","GRR",17
"19","ABE","HOU",33
"20","ABE","ILM",32
"21","ABE","IND",562
"22","ABE","JAX",6
"23","ABE","LAN",11
"24","ABE","LAS",66
"25","ABE","LEX",11
"26","ABE","MBS",1
"27","ABE","MCI",21
"28","ABE","MCO",36479
"29","ABE","MDT",6398
"30","ABE","MDW",1
"31","ABE","MEM",27
"32","ABE","MIA",58
"33","ABE","MKE",120
"34","ABE","MSP",218
"35","ABE","MYR",107
"36","ABE","ORD",74080
"37","ABE","PHL",159
"38","ABE","PIT",85638
"39","ABE","SAT",252
"40","ABE","SAV",166
"41","ABE","SBN",1037
"42","ABE","SJU",89
"43","ABE","SLC",9
"44","ABE","STL",333
"45","ABE","TLH",192
"46","ABE","TPA",254
"47","ABE","TRI",123
"48","ABI","DFW",1950
"49","ABI","EKO",820
"50","ABQ","ALM",1515
"51","ABQ","AMA",35002
"52","ABQ","ATL",84917
"53","ABQ","AUS",611
"54","ABQ","BDL",180
"55","ABQ","BGR",22
"56","ABQ","BHM",196
"57","ABQ","BIS",1
"58","ABQ","BMI",63
"59","ABQ","BNA",642
"60","ABQ","BOI",435
"61","ABQ","BOS",2902
"62","ABQ","BUR",13970
"63","ABQ","BWI",533
"64","ABQ","CHS",92
"65","ABQ","CID",69
"66","ABQ","CLT",377
"67","ABQ","CMH",265
"68","ABQ","CNM",4789
"69","ABQ","COS",10742
"70","ABQ","CVG",55983
"71","ABQ","CVN",1464
"72","ABQ","DAL",212519
"73","ABQ","DCA",12302
"74","ABQ","DEN",278226
"75","ABQ","DFW",340337
"76","ABQ","DRO",2691
"77","ABQ","DSM",132
"78","ABQ","DTW",87
"79","ABQ","EKO",803
"80","ABQ","ELP",82006
"81","ABQ","EWR",4372
"82","ABQ","FLL",390
"83","ABQ","FMN",18864
"84","ABQ","GSO",65
"85","ABQ","HOB",1891
"86","ABQ","HOU",28881
"87","ABQ","HRL",908
"88","ABQ","HSV",110
"89","ABQ","IAD",2122
