"","ORIGIN","DEST","PASSENGERS"
"1","ABE","ATL",57867
"2","ABE","AUS",151
"3","ABE","AVP",10
"4","ABE","BGR",15496
"5","ABE","BHM",5
"6","ABE","CAE",78
"7","ABE","CAK",43
"8","ABE","CLE",9820
"9","ABE","CLT",26524
"10","ABE","CMH",7
"11","ABE","CVG",24609
"12","ABE","DAY",289
"13","ABE","DCA",13
"14","ABE","DFW",17
"15","ABE","DSM",56
"16","ABE","DTW",45282
"17","ABE","ERI",12
"18","ABE","FWA",15
"19","ABE","GEG",6
"20","ABE","GRB",62
"21","ABE","GRR",14
"22","ABE","GSP",119
"23","ABE","GYY",429
"24","ABE","HPN",2
"25","ABE","IAH",15
"26","ABE","ILM",388
"27","ABE","IND",196
"28","ABE","LAN",11
"29","ABE","LGA",9
"30","ABE","MBS",63
"31","ABE","MCI",19
"32","ABE","MCO",57798
"33","ABE","MDT",367
"34","ABE","MDW",10
"35","ABE","MEM",26
"36","ABE","MIA",45
"37","ABE","MKE",35
"38","ABE","MSP",195
"39","ABE","MSY",16
"40","ABE","OMA",143
"41","ABE","ORD",49507
"42","ABE","ORH",2344
"43","ABE","PIT",84589
"44","ABE","PSM",796
"45","ABE","RDU",74
"46","ABE","RSW",38
"47","ABE","SBN",37
"48","ABE","SFB",23960
"49","ABE","SLC",77
"50","ABE","STL",33
"51","ABE","TPA",345
"52","ABI","ACT",5
"53","ABI","AUS",30
"54","ABI","DFW",43114
"55","ABI","EKO",1265
"56","ABI","GGG",7
"57","ABI","IAH",8462
"58","ABI","MAF",9
"59","ABI","SJT",6
"60","ABQ","ALB",226
"61","ABQ","AMA",35294
"62","ABQ","ATL",89393
"63","ABQ","AUS",730
"64","ABQ","BDL",1025
"65","ABQ","BHM",104
"66","ABQ","BNA",110
"67","ABQ","BOI",553
"68","ABQ","BOS",2133
"69","ABQ","BTR",20
"70","ABQ","BUF",221
"71","ABQ","BUR",9351
"72","ABQ","BWI",30561
"73","ABQ","CLE",1033
"74","ABQ","CMH",1531
"75","ABQ","COS",24
"76","ABQ","CVG",81235
"77","ABQ","DAL",206139
"78","ABQ","DCA",5169
"79","ABQ","DEN",230257
"80","ABQ","DFW",240082
"81","ABQ","DSM",180
"82","ABQ","DTW",1157
"83","ABQ","EKO",373
"84","ABQ","ELP",71973
"85","ABQ","EWR",7077
"86","ABQ","FAR",10
"87","ABQ","FCA",28
"88","ABQ","FLL",28
"89","ABQ","GEG",160
"90","ABQ","GRR",83
"91","ABQ","GSO",30
"92","ABQ","GSP",2
"93","ABQ","GTF",331
"94","ABQ","HOU",49735
"95","ABQ","HRL",886
"96","ABQ","IAD",332
"97","ABQ","IAH",166776
"98","ABQ","ICT",190
"99","ABQ","IND",258
"100","ABQ","ISP",2426
"101","ABQ","JAX",104
"102","ABQ","JFK",256
"103","ABQ","LAS",175683
"104","ABQ","LAX",152114
"105","ABQ","LBB",29284
"106","ABQ","LGA",2656
"107","ABQ","LGB",481
"108","ABQ","LIT",53
"109","ABQ","MAF",28899
"110","ABQ","MCI",50671
"111","ABQ","MCO",48653
"112","ABQ","MDW",38895
"113","ABQ","MEM",405
"114","ABQ","MFE",52
"115","ABQ","MIA",125
"116","ABQ","MSN",8
"117","ABQ","MSP",80621
"118","ABQ","MSY",7041
"119","ABQ","OAK",66860
"120","ABQ","OKC",3600
"121","ABQ","OMA",453
"122","ABQ","ONT",6444
"123","ABQ","ORD",59648
"124","ABQ","ORF",212
"125","ABQ","PDX",31514
"126","ABQ","PHL",1829
"127","ABQ","PHX",493950
"128","ABQ","PIT",35
"129","ABQ","PNS",88
"130","ABQ","PVD",108
"131","ABQ","RDD",20
"132","ABQ","RDU",2043
"133","ABQ","RIC",434
"134","ABQ","RNO",6395
"135","ABQ","SAN",84214
"136","ABQ","SAT",21401
"137","ABQ","SDF",10
"138","ABQ","SEA",33276
"139","ABQ","SFO",2846
"140","ABQ","SJC",14915
"141","ABQ","SLC",34991
"142","ABQ","SMF",16319
"143","ABQ","SNA",1600
"144","ABQ","STL",177549
"145","ABQ","SYR",53
"146","ABQ","TPA",27626
"147","ABQ","TUL",40
"148","ABQ","TUS",31161
"149","ABR","ATY",124
"150","ABR","MSP",22329
"151","ABR","PIR",190
"152","ABY","ATL",34572
"153","ABY","MCN",9
"154","ABY","MGM",7
"155","ABY","PFN",11
"156","ACK","EWR",7552
"157","ACK","MVY",25
"158","ACT","ABQ",118
"159","ACT","ADW",45
"160","ACT","CLL",2
"161","ACT","DFW",49524
"162","ACT","EKO",931
"163","ACT","IAH",6796
"164","ACT","MEM",139
"165","ACV","PDX",7200
"166","ACV","RDD",1570
"167","ACV","SEA",3858
"168","ACY","BWI",11
"169","ACY","CLE",4024
"170","ACY","FLL",74167
"171","ACY","IND",106
"172","ACY","LAX",2752
"173","ACY","MCO",71603
"174","ACY","MDW",16
"175","ACY","MYR",23736
"176","ACY","ORD",4479
"177","ACY","PBI",20057
"178","ACY","RSW",41905
"179","ACY","SJU",225
"180","ACY","TPA",37259
"181","ADW","ACT",164
"182","ADW","ATL",52
"183","ADW","CHS",52
"184","ADW","CMH",68
"185","ADW","HOP",49
"186","ADW","LIT",56
"187","ADW","PWM",72
"188","AEX","ATL",13215
"189","AEX","BTR",32
"190","AEX","BWI",152
"191","AEX","DFW",15649
"192","AEX","GTR",304
"193","AEX","IAH",31744
"194","AEX","JAN",7
"195","AEX","LIT",15
"196","AEX","LRD",100
"197","AEX","MLU",13
"198","AEX","MSP",15
"199","AEX","OPF",46
"200","AEX","SRQ",19
"201","AEX","SVN",1141
"202","AEX","SWF",21
"203","AFW","CLT",85
"204","AFW","IND",168
"205","AFW","LFT",129
"206","AGS","ATL",128270
"207","AGS","CVG",2367
"208","AGS","JAX",49
"209","AGS","NQA",110
"210","AKO","EKO",143
"211","ALB","ATL",109842
"212","ALB","AUS",3189
"213","ALB","BHM",49
"214","ALB","BNA",343
"215","ALB","BOS",11841
"216","ALB","BUF",114
"217","ALB","BWI",187490
"218","ALB","CAK",16
"219","ALB","CHS",2
"220","ALB","CLE",36113
"221","ALB","CLT",61968
"222","ALB","CMH",344
"223","ALB","COS",543
"224","ALB","CVG",73854
"225","ALB","DAY",221
"226","ALB","DCA",47197
"227","ALB","DEN",245
"228","ALB","DFW",1585
"229","ALB","DTW",103329
"230","ALB","EWR",40356
"231","ALB","FLL",4857
"232","ALB","FWA",12
"233","ALB","GEG",82
"234","ALB","GRB",6
"235","ALB","GRR",159
"236","ALB","GSP",238
"237","ALB","HOU",3
"238","ALB","IAD",198
"239","ALB","IAH",868
"240","ALB","ICT",21
"241","ALB","IND",1629
"242","ALB","JAN",1
"243","ALB","JAX",31
"244","ALB","JFK",26155
"245","ALB","LAN",10
"246","ALB","LAS",43699
"247","ALB","LAX",469
"248","ALB","LGA",25
"249","ALB","LNK",40
"250","ALB","MCI",259
"251","ALB","MCO",105641
"252","ALB","MDW",2608
"253","ALB","MKE",271
"254","ALB","MSN",164
"255","ALB","MSP",87
"256","ALB","MSY",65
"257","ALB","OAK",811
"258","ALB","ONT",148
"259","ALB","ORD",162035
"260","ALB","ORH",29
"261","ALB","PBI",2826
"262","ALB","PDX",180
"263","ALB","PHL",122154
"264","ALB","PIT",118676
"265","ALB","PVD",39
"266","ALB","RDU",1612
"267","ALB","ROC",2916
"268","ALB","RSW",1541
"269","ALB","SAT",683
"270","ALB","SAV",402
"271","ALB","SDF",1195
"272","ALB","SFO",154
"273","ALB","SJU",31
"274","ALB","SMF",404
"275","ALB","SRQ",99
"276","ALB","STL",2363
"277","ALB","TPA",3723
"278","ALB","XNA",48
"279","ALO","DBQ",1
"280","ALO","MSO",170
"281","ALO","MSP",21336
"282","ALW","ACV",2
"283","ALW","PDX",178
"284","ALW","PSC",12
"285","ALW","RDD",3
"286","ALW","SEA",28291
"287","AMA","ABQ",26662
"288","AMA","AGS",131
"289","AMA","AUS",7446
"290","AMA","BUR",1
"291","AMA","DAL",154271
"292","AMA","DAY",39
"293","AMA","DEN",2864
"294","AMA","DFW",109395
"295","AMA","EKO",974
"296","AMA","GEG",3
"297","AMA","GSO",8
"298","AMA","HOU",16336
"299","AMA","HRL",1413
"300","AMA","IAH",37506
"301","AMA","IND",17
"302","AMA","JAX",44
"303","AMA","LAS",30027
"304","AMA","LAX",2430
"305","AMA","LIT",206
"306","AMA","MEM",15
"307","AMA","MSP",37
"308","AMA","MSY",261
"309","AMA","OAK",53
"310","AMA","PHX",14209
"311","AMA","RNO",246
"312","AMA","SAN",10
"313","AMA","SAT",2810
"314","AMA","SDF",144
"315","AMA","SFO",188
"316","AMA","SPS",40
"317","AMA","TYS",122
"318","ANB","LCH",127
"319","APF","MIA",10536
"320","APN","CIU",44
"321","APN","CLE",13
"322","APN","DTW",10504
"323","APN","PLN",4
"324","ASE","AZO",14
"325","ASE","COS",45
"326","ASE","DEN",155381
"327","ASE","DLH",1
"328","ASE","GJT",88
"329","ASE","HPN",63
"330","ASE","LAX",4387
"331","ASE","MEM",1175
"332","ASE","MSP",13283
"333","ASE","SUX",1
"334","ATL","ABE",56634
"335","ATL","ABQ",88085
"336","ATL","ABY",36057
"337","ATL","ADW",54
"338","ATL","AEX",12224
"339","ATL","AGS",125845
"340","ATL","ALB",112550
"341","ATL","ATW",1455
"342","ATL","AUS",187788
"343","ATL","AVL",97212
"344","ATL","AVP",27
"345","ATL","AYS",38
"346","ATL","AZO",113
"347","ATL","BDL",277492
"348","ATL","BGM",116
"349","ATL","BGR",141
"350","ATL","BHM",306496
"351","ATL","BIL",21
"352","ATL","BLV",65
"353","ATL","BMI",74083
"354","ATL","BNA",309236
"355","ATL","BOI",282
"356","ATL","BOS",735270
"357","ATL","BQK",19791
"358","ATL","BTR",110061
"359","ATL","BTV",350
"360","ATL","BUF",237740
"361","ATL","BUR",45
"362","ATL","BWI",525961
"363","ATL","CAE",177484
"364","ATL","CAK",115618
"365","ATL","CHA",104789
"366","ATL","CHS",255230
"367","ATL","CID",35
"368","ATL","CIG",21
"369","ATL","CLE",225564
"370","ATL","CLT",351124
"371","ATL","CMH",263820
"372","ATL","COS",79485
"373","ATL","CRP",20165
"374","ATL","CRW",36342
"375","ATL","CSG",58876
"376","ATL","CVG",347521
"377","ATL","DAB",207253
"378","ATL","DAL",39612
"379","ATL","DAY",284753
"380","ATL","DCA",461158
"381","ATL","DEN",554336
"382","ATL","DFW",1136663
"383","ATL","DHN",55474
"384","ATL","DLH",49
"385","ATL","DSM",39927
"386","ATL","DTW",519139
"387","ATL","EGE",12075
"388","ATL","ELM",61
"389","ATL","ELP",37684
"390","ATL","EVV",37160
"391","ATL","EWR",843277
"392","ATL","FAY",51974
"393","ATL","FLL",962303
"394","ATL","FLO",19020
"395","ATL","FNT",99807
"396","ATL","FSD",2
"397","ATL","FSM",34
"398","ATL","FWA",35357
"399","ATL","GEG",47
"400","ATL","GNV",95915
"401","ATL","GPT",140101
"402","ATL","GRR",42780
"403","ATL","GSO",378381
"404","ATL","GSP",170794
"405","ATL","GTF",132
"406","ATL","GTR",24299
"407","ATL","HDN",1246
"408","ATL","HOU",299082
"409","ATL","HPN",28242
"410","ATL","HSV",203082
"411","ATL","HTS",15109
"412","ATL","IAD",675811
"413","ATL","IAH",483362
"414","ATL","ICT",35640
"415","ATL","ILM",57167
"416","ATL","IND",222935
"417","ATL","ISP",43401
"418","ATL","JAC",24
"419","ATL","JAN",181401
"420","ATL","JAX",642483
"421","ATL","JFK",156740
"422","ATL","LAN",117
"423","ATL","LAS",385685
"424","ATL","LAX",535411
"425","ATL","LEX",136089
"426","ATL","LFT",10155
"427","ATL","LGA",954119
"428","ATL","LGB",342
"429","ATL","LIT",143922
"430","ATL","LNK",9
"431","ATL","LWB",1935
"432","ATL","LYH",14787
"433","ATL","MBS",87
"434","ATL","MCI",372769
"435","ATL","MCN",28064
"436","ATL","MCO",1336298
"437","ATL","MDT",57555
"438","ATL","MDW",268338
"439","ATL","MEI",17880
"440","ATL","MEM",501012
"441","ATL","MFE",48
"442","ATL","MGM",116034
"443","ATL","MHT",76012
"444","ATL","MIA",869271
"445","ATL","MKE",160006
"446","ATL","MLB",195210
"447","ATL","MLI",74880
"448","ATL","MLU",36490
"449","ATL","MOB",205010
"450","ATL","MSN",395
"451","ATL","MSP",505350
"452","ATL","MSY",573591
"453","ATL","MYR",209385
"454","ATL","OAK",43341
"455","ATL","OKC",113607
"456","ATL","OMA",86545
"457","ATL","ONT",69375
"458","ATL","ORD",821212
"459","ATL","ORF",319102
"460","ATL","ORH",21581
"461","ATL","PBI",451939
"462","ATL","PDX",104292
"463","ATL","PFN",126204
"464","ATL","PHF",113225
"465","ATL","PHL",730632
"466","ATL","PHX",409025
"467","ATL","PIA",11651
"468","ATL","PIT",426032
"469","ATL","PNS",223592
"470","ATL","PVD",160374
"471","ATL","PWM",65681
"472","ATL","RAP",10
"473","ATL","RDU",568380
"474","ATL","RIC",222872
"475","ATL","RNO",103
