"","AIRPORT","LATITUDE","LONGITUDE","PASSENGERS"
"1","ABE",40.65272222,-75.440000002,388500
"2","ABI",32.4106481466667,-99.68111111,90236
"3","ABQ",35.040000002,-106.608277778,3172658
"4","ABR",45.4482870383333,-98.422175925,26546
"5","ABY",31.53388889,-84.195277775,34709
"6","ACK",41.253777782,-70.060055556,162239
"7","ACT",31.611805555,-97.229444445,74193
"8","ACV",40.978101855,-124.108287035,103499
"9","ACY",39.456944445,-74.57777778,450528
"10","ADS",32.96847222,-96.83625,10
"11","ADW",38.81083333,-76.866999996,2212
"12","AEX",31.325833335,-92.547777775,124151
"13","AFW",32.9884126985714,-97.31892857,986
"14","AGC",40.3545370333333,-79.9298148166667,NA
"15","AGS",33.3694444466667,-81.96444444,133549
"16","AHN",33.948555554,-83.326277776,6721
"17","AIA",42.052999998,-102.804333334,1735
"18","AIK",33.64972222,-81.68486111,4
"19","ALB",42.7475,-73.80361111,1434705
"20","ALM",32.8399999983333,-105.990370371667,119
"21","ALO",42.556527775,-92.4,33151
"22","ALS",37.435333334,-105.867111114,6099
"23","ALW",46.094944444,-118.28811111,28303
"24","AMA",35.2246296266667,-101.71657407,446697
"25","ANB",33.588500004,-85.857611114,252
"26","AOO",40.296805555,-78.32,6318
"27","APA",39.571458335,-104.84861111,15
"28","APC",38.21263889,-122.28027778,2
"29","APF",26.152444444,-81.775611112,24187
"30","APN",45.079861115,-83.558055555,7845
"31","ART",43.991722218,-76.020277778,3658
"32","ASE",39.222833334,-106.868666666,200845
"33","ASH",42.78101852,-71.5127777766667,2
"34","ATL",33.6384523814286,-84.4276190485714,36880169
"35","ATW",44.258000004,-88.519333336,283617
"36","ATY",44.9105555566667,-97.1543518533333,6187
"37","AUG",44.31930556,-69.796944445,4589
"38","AUS",30.24625,-97.685694445,3940024
"39","AVL",35.43522222,-82.54211111,289377
"40","AVP",41.33861111,-75.72383333,213104
"41","AZA",33.30777778,-111.65555556,2447
"42","AZO",42.235416665,-85.55263889,205411
"43","BAB",39.13611111,-121.436111115,50
"44","BAD",32.501888886,-93.662611112,402
"45","BAF",42.158444448,-72.715944442,5
"46","BCE",37.70638889,-112.145277775,2738
"47","BCT",26.37083333,-80.10833333,15
"48","BDL",41.938703705,-72.683287035,3366479
"49","BDR",41.16375,-73.125277775,65
"50","BED",42.470166666,-71.289222224,13842
"51","BFD",41.80263889,-78.63972222,3626
"52","BFF",41.87490741,-103.59925926,10068
"53","BFI",47.529444445,-122.30069444,29776
"54","BFL",35.4325,-119.055555556667,171783
"55","BFT",32.41208333,-80.63458333,NA
"56","BGM",42.207055554,-75.97761111,106740
"57","BGR",44.80763889,-68.82791667,211628
"58","BHB",44.449305555,-68.36166667,9850
"59","BHM",33.5632638925,-86.754722225,1549857
"60","BID",41.167361115,-71.578472225,7595
"61","BIF",31.84944444,-106.37972222,1426
"62","BIL",45.8075,-108.543055556667,402518
"63","BIS",46.775833335,-100.749166665,179606
"64","BIX",30.410833335,-88.924027775,43
"65","BJI",47.5098611075,-94.934166665,26048
"66","BKL",41.5175,-81.68311111,1287
"67","BKW",37.78458333,-81.12416667,2856
"68","BKX",44.30433333,-96.816555554,1074
"69","BLD",35.947444444,-114.861055556,12295
"70","BLF",37.29583333,-81.20791667,1800
"71","BLI",48.79361111,-122.53611111,135073
"72","BLM",40.18666667,-74.12472222,NA
"73","BLV",38.54402778,-89.843194445,25434
"74","BMG",39.1420370366667,-86.61537037,1063
"75","BMI",40.47958333,-88.921666665,255958
"76","BNA",36.125555555,-86.68,4748944
"77","BOI",43.56486111,-116.22388889,1654321
"78","BOS",42.363333335,-71.00625,11636279
"79","BPT",29.95083333,-94.02013889,38617
"80","BQK",31.2589814833333,-81.46638889,26679
"81","BQN",18.4951851833333,-67.1296296266667,172193
"82","BRD",46.4011904771429,-94.1355555571429,19192
"83","BRL",40.78472222,-91.124444445,7836
"84","BRO",25.907444442,-97.426444444,89860
"85","BTL",42.30777778,-85.24888889,158
"86","BTM",45.952916665,-112.495694445,37413
"87","BTR",30.53266667,-91.150111112,526773
"88","BTV",44.47236111,-73.153194445,676905
"89","BUF",42.9406481516667,-78.7324074083333,2519115
"90","BUR",34.2001851866667,-118.358055556667,2835017
"91","BWG",36.96333333,-86.42097222,260
"92","BWI",39.175444444,-76.668888888,9964191
