"","AIRPORT","LATITUDE","LONGITUDE","PASSENGERS"
"1","ABE",40.65272222,-75.440000002,418174
"2","ABI",32.4106481466667,-99.68111111,90095
"3","ABQ",35.040000002,-106.608277778,3235241
"4","ABR",45.4482870383333,-98.422175925,26387
"5","ABY",31.53388889,-84.195277775,38706
"6","ACK",41.253777782,-70.060055556,161191
"7","ACT",31.611805555,-97.229444445,76359
"8","ACV",40.978101855,-124.108287035,105758
"9","ACY",39.456944445,-74.57777778,564757
"10","ADS",32.96847222,-96.83625,NA
"11","ADW",38.81083333,-76.866999996,1188
"12","AEX",31.325833335,-92.547777775,133336
"13","AFW",32.9884126985714,-97.31892857,1163
"14","AGC",40.3545370333333,-79.9298148166667,37
"15","AGS",33.3694444466667,-81.96444444,153036
"16","AHN",33.948555554,-83.326277776,6153
"17","AIA",42.052999998,-102.804333334,2010
"18","AIK",33.64972222,-81.68486111,4
"19","ALB",42.7475,-73.80361111,1415001
"20","ALM",32.8399999983333,-105.990370371667,370
"21","ALO",42.556527775,-92.4,28796
"22","ALS",37.435333334,-105.867111114,7423
"23","ALW",46.094944444,-118.28811111,28705
"24","AMA",35.2246296266667,-101.71657407,458172
"25","ANB",33.588500004,-85.857611114,487
"26","AND",34.494027775,-82.70972222,505
"27","ANP",38.94277778,-76.56861111,4
"28","AOO",40.296805555,-78.32,4151
"29","APA",39.571458335,-104.84861111,25
"30","APC",38.21263889,-122.28027778,9
"31","APF",26.152444444,-81.775611112,13366
"32","APN",45.079861115,-83.558055555,7595
"33","ART",43.991722218,-76.020277778,7133
"34","ASE",39.222833334,-106.868666666,180861
"35","ASH",42.78101852,-71.5127777766667,6
"36","AST",46.15888889,-123.879305555,1
"37","ATL",33.6384523814286,-84.4276190485714,38447096
"38","ATW",44.258000004,-88.519333336,287037
"39","ATY",44.9105555566667,-97.1543518533333,5148
"40","AUG",44.31930556,-69.796944445,4199
"41","AUS",30.24625,-97.685694445,4172880
