"","ORIGIN","DEST","PASSENGERS"
"1","1G4","VGT",42
"2","1N7","HTO",2
"3","ABE","ATL",35110
"4","ABE","ATW",17
"5","ABE","AVP",35
"6","ABE","AZO",112
"7","ABE","BTR",11
"8","ABE","CAE",8
"9","ABE","CHA",15
"10","ABE","CLE",27560
"11","ABE","CLT",71572
"12","ABE","CMH",51
"13","ABE","CVG",15621
"14","ABE","DAB",3
"15","ABE","DAY",58
"16","ABE","DTW",36588
"17","ABE","ERI",33
"18","ABE","EVV",9
"19","ABE","EWR",88
"20","ABE","FAY",3
"21","ABE","FLL",9289
"22","ABE","GPT",393
"23","ABE","GRB",13
"24","ABE","HPN",92
"25","ABE","HSV",8
"26","ABE","IAD",27598
"27","ABE","ICT",414
"28","ABE","ILG",46
"29","ABE","ILM",22
"30","ABE","JAN",16
"31","ABE","JFK",130
"32","ABE","JST",62
"33","ABE","LGA",221
"34","ABE","LIT",90
"35","ABE","LYH",120
"36","ABE","MDT",3
"37","ABE","MKE",42
"38","ABE","MLI",50
"39","ABE","MYR",104
"40","ABE","ORD",52532
"41","ABE","PGD",825
"42","ABE","PHL",43471
"43","ABE","PIE",17181
"44","ABE","PIT",123
"45","ABE","ROA",2
"46","ABE","RSW",116
"47","ABE","SAT",19
"48","ABE","SAV",35
"49","ABE","SDF",12
"50","ABE","SFB",44694
"51","ABE","SGF",6
"52","ABE","SHV",4
"53","ABE","SRQ",147
"54","ABE","TYS",32
"55","ABE","UTM",224
"56","ABI","AMA",148
"57","ABI","ATL",25
"58","ABI","DFW",75536
"59","ABI","ENV",781
"60","ABI","IAH",9486
"61","ABI","IFP",831
"62","ABI","MCI",106
"63","ABI","MCO",114
"64","ABI","RNO",252
"65","ABI","SAT",66
"66","ABI","SPS",72
"67","ABI","UTM",249
"68","ABQ","ACT",82
"69","ABQ","ALB",1263
"70","ABQ","ALM",206
"71","ABQ","AMA",12640
"72","ABQ","ATL",139681
"73","ABQ","AUS",31101
"74","ABQ","AZA",431
"75","ABQ","BDL",524
"76","ABQ","BFL",102
"77","ABQ","BHM",1589
"78","ABQ","BIL",2
"79","ABQ","BNA",7500
"80","ABQ","BOI",383
"81","ABQ","BOS",147
"82","ABQ","BUF",95
"83","ABQ","BUR",10573
"84","ABQ","BWI",57193
"85","ABQ","BZN",82
"86","ABQ","CKB",77
"87","ABQ","CLE",864
"88","ABQ","CLL",160
"89","ABQ","CLT",166
"90","ABQ","CMH",564
"91","ABQ","CNM",1603
"92","ABQ","CRP",22
"93","ABQ","CVG",32739
"94","ABQ","CVN",2400
"95","ABQ","DAL",203022
"96","ABQ","DAY",240
"97","ABQ","DCA",818
"98","ABQ","DEN",342842
"99","ABQ","DFW",305310
"100","ABQ","DLH",1
"101","ABQ","DTW",106
"102","ABQ","ELP",40350
"103","ABQ","ENV",969
"104","ABQ","EUG",17
"105","ABQ","EWR",13342
"106","ABQ","FAT",315
"107","ABQ","FLL",1171
"108","ABQ","FNL",265
"109","ABQ","GEG",469
"110","ABQ","GJT",20
"111","ABQ","GTF",24
"112","ABQ","HLN",3
"113","ABQ","HOB",1733
"114","ABQ","HOU",71358
"115","ABQ","HRL",72
"116","ABQ","IAD",35673
"117","ABQ","IAH",144176
"118","ABQ","IDA",14
"119","ABQ","IFP",1278
"120","ABQ","IND",991
"121","ABQ","ISP",139
"122","ABQ","JAN",94
"123","ABQ","JAX",985
"124","ABQ","JFK",6
"125","ABQ","LAR",228
"126","ABQ","LAS",163386
"127","ABQ","LAX",141159
"128","ABQ","LBB",17315
"129","ABQ","LGA",2600
"130","ABQ","LGB",17
"131","ABQ","LIT",1631
"132","ABQ","MAF",21323
"133","ABQ","MCI",36393
"134","ABQ","MCO",59254
"135","ABQ","MDW",69744
"136","ABQ","MEM",338
"137","ABQ","MFE",79
"138","ABQ","MHT",2658
"139","ABQ","MIA",77
"140","ABQ","MKC",63
"141","ABQ","MKE",367
"142","ABQ","MSO",80
"143","ABQ","MSP",86440
"144","ABQ","MSY",2013
"145","ABQ","NYL",6
"146","ABQ","OAK",79272
"147","ABQ","OKC",5357
"148","ABQ","OMA",346
"149","ABQ","ONT",22280
"150","ABQ","ORD",102376
"151","ABQ","ORF",263
"152","ABQ","PAM",96
"153","ABQ","PBI",19
"154","ABQ","PDX",33160
"155","ABQ","PHL",2393
"156","ABQ","PHX",399508
"157","ABQ","PIT",132
"158","ABQ","PNS",1
"159","ABQ","PSP",67
"160","ABQ","PVD",2530
"161","ABQ","RAP",10
"162","ABQ","RDD",500
"163","ABQ","RDM",99
"164","ABQ","RDU",846
"165","ABQ","RFD",226
"166","ABQ","RIC",33
"167","ABQ","RNO",1869
"168","ABQ","RSW",378
"169","ABQ","RUI",102
"170","ABQ","SAF",2
"171","ABQ","SAN",65083
"172","ABQ","SAT",23212
"173","ABQ","SBA",38
"174","ABQ","SBP",2
"175","ABQ","SDF",731
"176","ABQ","SEA",55183
"177","ABQ","SFO",25836
"178","ABQ","SJC",13848
"179","ABQ","SLC",98403
"180","ABQ","SLE",40
"181","ABQ","SMF",21685
"182","ABQ","SNA",3461
"183","ABQ","STL",27048
"184","ABQ","SVC",2526
"185","ABQ","TPA",31912
"186","ABQ","TUL",5195
"187","ABQ","TUS",54985
"188","ABQ","TYS",35
"189","ABQ","UTM",49
"190","ABR","FSD",57
"191","ABR","LSE",1
"192","ABR","MCO",135
"193","ABR","MSP",22949
"194","ABR","RAP",49
"195","ABY","ATL",39087
"196","ABY","AVL",2
"197","ABY","BWI",4
"198","ABY","CAE",1
"199","ABY","HSV",34
"200","ACK","BDR",23
"201","ACK","BED",10
"202","ACK","BOS",32549
"203","ACK","DCA",2388
"204","ACK","DET",1
"205","ACK","EWB",9833
"206","ACK","EWR",6175
"207","ACK","FRG",11
"208","ACK","HPN",1335
"209","ACK","HTO",9
"210","ACK","HYA",62938
"211","ACK","IAD",104
"212","ACK","IND",45
"213","ACK","JFK",12270
"214","ACK","LGA",6676
"215","ACK","MHT",8
"216","ACK","MMU",38
"217","ACK","MTP",3
"218","ACK","MVY",4323
"219","ACK","OXC",28
"220","ACK","PVD",4426
"221","ACK","PWM",2
"222","ACK","SLK",2
"223","ACK","TEB",1171
"224","ACT","ABQ",81
"225","ACT","ADW",112
"226","ACT","BDL",159
"227","ACT","COU",30
"228","ACT","CVG",31
"229","ACT","DEN",47
"230","ACT","DFW",48103
"231","ACT","DSM",161
"232","ACT","FOE",35
"233","ACT","GSO",133
"234","ACT","HPN",3
"235","ACT","IAB",33
"236","ACT","IAD",107
"237","ACT","IAH",16909
"238","ACT","ILG",82
"239","ACT","JAX",28
"240","ACT","LAS",109
"241","ACT","LBB",295
"242","ACT","MCI",70
"243","ACT","MCO",22
"244","ACT","MHK",64
"245","ACT","OKC",166
"246","ACT","OMA",165
"247","ACT","PUW",128
"248","ACT","RNO",122
"249","ACT","SFB",172
"250","ACT","STT",134
"251","ACT","SWO",267
"252","ACT","TXK",133
"253","ACT","UTM",422
"254","ACV","ABQ",26
"255","ACV","BIL",5
"256","ACV","CEC",414
"257","ACV","CPR",4
"258","ACV","GJT",16
"259","ACV","LAX",27178
"260","ACV","PDX",8754
"261","ACV","RAP",5
"262","ACV","RDD",1666
"263","ACV","SAN",24
"264","ACV","SFO",47269
"265","ACV","SLC",13982
"266","ACV","SMF",7135
"267","ACY","AGS",1166
"268","ACY","ALB",2131
"269","ACY","ATL",4388
"270","ACY","BHM",204
"271","ACY","BNA",276
"272","ACY","BOS",3096
"273","ACY","BUF",2511
"274","ACY","BWI",220
"275","ACY","CAE",827
"276","ACY","CAK",2009
"277","ACY","CEF",813
"278","ACY","CHA",137
"279","ACY","CHS",583
"280","ACY","CLE",5616
"281","ACY","CLT",3332
"282","ACY","CMH",670
"283","ACY","CRW",631
"284","ACY","CVG",571
"285","ACY","DAY",1056
"286","ACY","DTW",1725
"287","ACY","DXR",2
"288","ACY","ERI",612
"289","ACY","FAY",1424
"290","ACY","FLL",124503
"291","ACY","FTY",1
"292","ACY","FWA",114
"293","ACY","GRR",724
"294","ACY","GSO",5318
"295","ACY","GSP",623
"296","ACY","GYY",428
"297","ACY","HPN",30
"298","ACY","IAD",44
"299","ACY","IAH",183
"300","ACY","ILM",420
"301","ACY","IND",298
"302","ACY","ISO",1600
"303","ACY","JAX",1034
"304","ACY","JFK",50
"305","ACY","JST",89
"306","ACY","LAS",812
"307","ACY","LBE",3216
"308","ACY","MCI",190
"309","ACY","MCO",128178
"310","ACY","MDW",164
"311","ACY","MEM",288
"312","ACY","MHT",1505
"313","ACY","MKE",279
"314","ACY","MOB",83
"315","ACY","MSN",114
"316","ACY","MSP",234
"317","ACY","MSY",345
"318","ACY","MYR",70743
"319","ACY","OMA",116
"320","ACY","ORD",504
"321","ACY","ORH",269
"322","ACY","PBI",18724
"323","ACY","PGV",383
"324","ACY","PIE",418
"325","ACY","PIT",7789
"326","ACY","PNS",59
"327","ACY","PVD",2225
"328","ACY","PWM",999
"329","ACY","RDU",3073
"330","ACY","RIC",1157
"331","ACY","RME",915
"332","ACY","ROA",800
"333","ACY","ROC",974
"334","ACY","RSW",54131
"335","ACY","SBN",109
"336","ACY","SDF",693
"337","ACY","SFB",470
"338","ACY","SJU",284
"339","ACY","STL",432
"340","ACY","SYR",2063
"341","ACY","TOL",587
"342","ACY","TPA",47543
"343","ACY","TYS",1661
"344","ACY","YNG",4538
"345","ADS","FAT",2
"346","ADS","MMU",8
"347","ADW","ACT",87
"348","ADW","BNA",33
"349","ADW","JQF",53
"350","ADW","LWB",76
"351","ADW","OKC",84
"352","ADW","POB",29
"353","ADW","RFD",3
"354","ADW","STL",34
"355","ADW","SUU",28
"356","ADW","TUL",34
"357","AEX","ATL",35061
"358","AEX","BIF",113
"359","AEX","BNA",7
"360","AEX","BUF",97
"361","AEX","CHA",3
"362","AEX","CLL",15
"363","AEX","CSG",102
"364","AEX","DFW",22411
"365","AEX","DQK",200
"366","AEX","ELP",181
"367","AEX","FAY",166
"368","AEX","GRK",124
"369","AEX","GSP",3
"370","AEX","HRL",511
"371","AEX","IAH",43252
"372","AEX","LEX",15
"373","AEX","LRD",396
"374","AEX","LSF",72
"375","AEX","MDT",90
"376","AEX","MEM",19518
"377","AEX","MIA",197
"378","AEX","MLU",15
"379","AEX","MSP",51
"380","AEX","NGU",172
"381","AEX","OAJ",1
"382","AEX","OKC",108
"383","AEX","OMA",55
"384","AEX","ONT",131
"385","AEX","ORD",51
"386","AEX","POB",115
"387","AEX","RFD",110
"388","AEX","SAT",20
"389","AEX","SDF",48
"390","AEX","SEA",304
"391","AEX","SJU",94
"392","AEX","TOL",49
"393","AEX","TRI",26
"394","AEX","WRI",1146
"395","AFW","CLT",251
"396","AFW","INT",71
"397","AFW","JQF",295
"398","AGC","TEB",4
"399","AGC","TPA",5
"400","AGS","ACY",1287
"401","AGS","ATL",101869
"402","AGS","BDR",3
"403","AGS","BKL",128
"404","AGS","BMI",3
"405","AGS","BNA",14
"406","AGS","CAK",6
"407","AGS","CLT",68525
"408","AGS","CSG",67
"409","AGS","CVG",12
"410","AGS","DAY",7
"411","AGS","DHN",1
"412","AGS","GNV",2
"413","AGS","GPT",116
"414","AGS","GRK",10
"415","AGS","ICT",110
"416","AGS","IFP",250
"417","AGS","JAX",239
"418","AGS","LGA",892
"419","AGS","LIT",4
"420","AGS","MEM",149
"421","AGS","MSY",128
"422","AGS","OKC",8
"423","AGS","PFN",1
"424","AGS","PHL",656
"425","AGS","PTK",105
"426","AGS","RIC",3
"427","AGS","ROC",52
"428","AGS","SFB",364
"429","AGS","UTM",577
"430","AHN","ATL",1014
"431","AHN","BNA",91
"432","AHN","BTR",61
"433","AHN","CLT",1698
"434","AHN","FYV",70
"435","AHN","GNV",115
"436","AHN","GTR",62
"437","AHN","LEX",115
"438","AHN","MCN",12
"439","AHN","OKC",31
"440","AHN","TYS",74
"441","AIA","BFF",5
