"","AIRPORT","LATITUDE","LONGITUDE","PASSENGERS"
"137","CNO",33.972777775,-117.63888889,NA
"138","CNY",38.75722222,-109.750416665,2681
"139","COD",44.518055555,-109.025694445,28437
"140","COE",47.77472222,-116.81861111,1
"141","CON",43.203055555,-71.50222222,30
"142","COS",38.80736111,-104.705,861225
"143","COU",38.816833334,-92.218944446,38276
"144","CPR",42.907277778,-106.46372222,83317
"145","CPS",38.57138889,-90.15722222,363
"146","CPX",18.312944446,-65.304222222,1603
"147","CRG",30.33638889,-81.51444444,1
"148","CRP",27.77100694375,-97.50152777625,338770
"149","CRW",38.37388889,-81.59305556,264409
"150","CSG",32.516333334,-84.93888889,63182
"151","CSM",35.33972222,-99.2003703733333,67
"152","CT1",41.68986111,-72.86472222,1
"153","CVG",39.048333335,-84.668194445,3773005
"154","CVN",34.4262500016667,-103.078379631667,2164
"155","CVS",34.383111112,-103.322666666,46
"156","CWA",44.77986111,-89.66291667,156241
"157","CYS",41.155694445,-104.81138889,18658
"158","DAB",29.1816666666667,-81.05453704,246229
"159","DAG",34.8537962966667,-116.786296296667,44
"160","DAL",32.8470370333333,-96.85212963,3781463
"161","DAY",39.901666665,-84.21972222,1245277
"162","DBQ",42.40597222,-90.710138885,33828
"163","DCA",38.851666666,-77.037611112,8585429
"164","DDC",37.762361115,-99.96527778,3624
"165","DEC",39.834305555,-88.867083335,2355
"166","DEN",39.818055555,-104.77638889,24090844
"167","DET",42.4084259266667,-83.0094444433333,5
"168","DFW",32.896527775,-97.037083335,24263278
"169","DHN",31.320555555,-85.448888885,40846
"170","DIK",46.796944445,-102.799166665,10347
"171","DLH",46.8421296266667,-92.1925925933333,150480
"172","DMA",32.16638889,-110.88277778,NA
"173","DOV",39.12819444,-75.465138885,762
"174","DPA",41.91555556,-88.24666667,4
"175","DPG",40.1987962933333,-112.93638889,NA
"176","DQK",44.054555556,-75.722388888,109
"177","DQR",35.9883333333333,-113.814444443333,46540
"178","DQS",36.258055555,-113.23111111,6785
"179","DRO",37.1550925933333,-107.749074073333,163519
"180","DRT",29.37416667,-100.92722222,13176
"181","DSI",30.4,-86.47138889,NA
"182","DSM",41.5339814833333,-93.6590740766667,897681
"183","DTH",36.462222225,-116.88013889,10
"184","DTW",42.214583335,-83.348888885,14165633
"185","DUJ",41.17833333,-78.89875,5722
"186","DVL",48.115166668,-98.908833332,4992
"187","DWA",38.579305555,-121.856805555,2
"188","DWH",30.0625,-95.5550925933333,3
"189","EAR",40.727638885,-99.00277778,9435
"190","EAT",47.398722224,-120.206666664,46548
"191","EAU",44.8649074033333,-91.4862037033333,18024
"192","ECP",30.358055555,-85.797222225,253712
"193","EDW",34.91377778,-117.870000002,40
"194","EEN",42.89958333,-72.27083333,7
"195","EFD",29.60722222,-95.15861111,722
"196","EGE",39.642944446,-106.92211111,200612
"197","EKI",41.7206349171429,-85.9980952371429,5
"198","EKO",40.824777778,-115.791166668,21823
"199","ELD",33.22064815,-92.8142592566667,1220
"200","ELM",42.160055554,-76.8925,131100
"201","ELP",31.80711111,-106.377,1504321
"202","ELY",39.30083333,-114.84194444,227
"203","ENV",40.71861111,-114.030555554,50792
"204","ERI",42.0816666666667,-80.1762037033333,127049
"205","ESC",45.72166667,-87.09013889,9150
"206","ESD",48.70833333,-122.91152778,3770
"207","ESN",38.803472225,-76.068333335,2
"208","EUG",44.122638885,-123.21472222,369198
"209","EVV",38.03861111,-87.5306481466667,169916
"210","EWB",41.6766666675,-70.9581944475,12311
"211","EWN",35.0731250025,-77.0428819475,126795
"212","EWR",40.694166665,-74.17013889,10806358
"213","EYW",24.555833335,-81.75958333,287320
"214","FAR",46.9172222266667,-96.81509259,364940
"215","FAT",36.77638889,-119.718134921429,550378
"216","FAY",34.99125,-78.88027778,258779
"217","FCA",48.31166667,-114.25361111,175062
"218","FCM",44.82736111,-93.457916665,NA
"219","FFO",39.82611111,-84.04833333,58
"220","FFT",38.181944444,-84.906055556,2
"221","FHB",30.61194444,-81.46111111,9
"222","FHU",31.58861111,-110.34375,32
"223","FID",41.25138889,-72.03166667,31
"224","FKL",41.37763889,-79.86041667,1377
"225","FLG",35.13902778,-111.67041667,61807
"226","FLL",26.072453705,-80.1516203716667,9208613
"227","FLO",34.187083335,-79.724166665,82877
"228","FMN",36.74125,-108.229583335,13151
"229","FNL",40.4509259233333,-105.01101852,35662
"230","FNT",42.965777782,-83.743666666,497586
"231","FOD",42.551805555,-94.19083333,8202
"232","FOE",38.951166664,-95.663388888,3093
"233","FOK",40.84361111,-72.6320370366667,14
"234","FPR",27.496611112,-80.37177778,7
"235","FRD",48.524166665,-123.024166665,12312
"236","FRG",40.729166665,-73.414166665,3230
"237","FSD",43.580416665,-96.741388885,355664
"238","FSM",35.33666667,-94.3675,83178
"239","FTW",32.81909722,-97.361319445,733
"240","FTY",33.77916667,-84.52138889,7
"241","FVG",33.970388892,-112.79538889,2
"242","FVO",45.24722222,-122.77,3
"243","FWA",40.97833333,-85.189861115,272624
"244","FWH",32.7689814833333,-97.4412962966667,88
"245","FXE",26.19708333,-80.17083333,2
"246","FYV",36.0045370366667,-94.1700925933333,1050
"247","GAI",39.16833333,-77.16611111,2
"248","GBD",38.345694445,-98.86166667,719
"249","GCC",44.35013889,-105.53222222,29218
"250","GCK",37.92824074,-100.72796296,10151
"251","GCN",35.95208333,-112.14722222,73057
"252","GDV",47.13875,-104.80708333,423
"253","GED",38.688555558,-75.35911111,1
"254","GEG",47.619583335,-117.53402778,1544236
"255","GFK",47.94958333,-97.17625,117981
"256","GFL",43.342777775,-73.609722225,5
