"","AIRPORT","LATITUDE","LONGITUDE","PASSENGERS"
"1","ABE",40.65272222,-75.440000002,411441
"2","ABI",32.4106481466667,-99.68111111,77808
"3","ABQ",35.040000002,-106.608277778,3167096
"4","ABR",45.4482870383333,-98.422175925,28609
"5","ABY",31.53388889,-84.195277775,38461
"6","ACK",41.253777782,-70.060055556,160644
"7","ACT",31.611805555,-97.229444445,71649
"8","ACV",40.978101855,-124.108287035,108684
"9","ACY",39.456944445,-74.57777778,461426
"10","ADS",32.96847222,-96.83625,9
"11","ADW",38.81083333,-76.866999996,1949
"12","AEX",31.325833335,-92.547777775,123583
"13","AFW",32.9884126985714,-97.31892857,1125
"14","AGS",33.3694444466667,-81.96444444,155000
"15","AHN",33.948555554,-83.326277776,7636
"16","AIA",42.052999998,-102.804333334,1398
"17","AKO",40.17555556,-103.22208333,48
"18","ALB",42.7475,-73.80361111,1526096
"19","ALO",42.556527775,-92.4,38720
"20","ALS",37.435333334,-105.867111114,5424
"21","ALW",46.094944444,-118.28811111,24700
"22","AMA",35.2246296266667,-101.71657407,446511
"23","ANB",33.588500004,-85.857611114,405
"24","AND",34.494027775,-82.70972222,101
"25","AOO",40.296805555,-78.32,6721
"26","APC",38.21263889,-122.28027778,17
"27","APF",26.152444444,-81.775611112,31657
"28","APN",45.079861115,-83.558055555,9688
"29","ART",43.991722218,-76.020277778,4597
"30","ASE",39.222833334,-106.868666666,193623
"31","ASN",33.56958333,-86.05097222,NA
"32","ATL",33.6384523814286,-84.4276190485714,38452852
"33","ATW",44.258000004,-88.519333336,297880
"34","ATY",44.9105555566667,-97.1543518533333,9088
"35","AUG",44.31930556,-69.796944445,4681
"36","AUS",30.24625,-97.685694445,3636505
"37","AVL",35.43522222,-82.54211111,315316
"38","AVP",41.33861111,-75.72383333,221782
"39","AZ1",35.650694445,-112.14805556,303
"40","AZA",33.30777778,-111.65555556,1433
"41","AZO",42.235416665,-85.55263889,235890
"42","BAB",39.13611111,-121.436111115,184
"43","BAD",32.501888886,-93.662611112,247
"44","BAF",42.158444448,-72.715944442,NA
"45","BCE",37.70638889,-112.145277775,2850
"46","BDL",41.938703705,-72.683287035,3570685
"47","BED",42.470166666,-71.289222224,13143
"48","BFD",41.80263889,-78.63972222,5373
"49","BFF",41.87490741,-103.59925926,8998
"50","BFI",47.529444445,-122.30069444,19938
"51","BFK",39.70166667,-104.75166667,132
"52","BFL",35.4325,-119.055555556667,146398
"53","BFM",30.62652778,-88.06805556,136
"54","BFT",32.41208333,-80.63458333,NA
"55","BGM",42.207055554,-75.97761111,122422
"56","BGR",44.80763889,-68.82791667,245216
"57","BHB",44.449305555,-68.36166667,10007
"58","BHM",33.5632638925,-86.754722225,1593855
"59","BIF",31.84944444,-106.37972222,4577
"60","BIL",45.8075,-108.543055556667,402416
"61","BIS",46.775833335,-100.749166665,173569
"62","BJI",47.5098611075,-94.934166665,29695
"63","BKL",41.5175,-81.68311111,1289
"64","BKW",37.78458333,-81.12416667,2509
"65","BKX",44.30433333,-96.816555554,926
"66","BLD",35.947444444,-114.861055556,17
"67","BLF",37.29583333,-81.20791667,1878
"68","BLI",48.79361111,-122.53611111,101272
"69","BLV",38.54402778,-89.843194445,27818
"70","BMG",39.1420370366667,-86.61537037,1296
"71","BMI",40.47958333,-88.921666665,227739
"72","BNA",36.125555555,-86.68,4541633
"73","BOI",43.56486111,-116.22388889,1580037
"74","BOS",42.363333335,-71.00625,11230016
"75","BPT",29.95083333,-94.02013889,45887
"76","BQK",31.2589814833333,-81.46638889,37225
"77","BQN",18.4951851833333,-67.1296296266667,119740
"78","BRD",46.4011904771429,-94.1355555571429,20527
"79","BRL",40.78472222,-91.124444445,6666
"80","BRO",25.907444442,-97.426444444,76217
"81","BTL",42.30777778,-85.24888889,375
"82","BTM",45.952916665,-112.495694445,42663
"83","BTR",30.53266667,-91.150111112,515305
"84","BTV",44.47236111,-73.153194445,690531
"85","BUF",42.9406481516667,-78.7324074083333,2431948
"86","BUR",34.2001851866667,-118.358055556667,2751243
"87","BWD",31.794166665,-98.95652778,227
"88","BWG",36.96333333,-86.42097222,572
"89","BWI",39.175444444,-76.668888888,9489120
"90","BZN",45.778,-111.153111108,335637
"91","CAE",33.9386111133333,-81.1181481466667,724554
"92","CAK",40.914444445,-81.44263889,711345
"93","CDC",37.701666665,-113.0975,10408
"94","CDR",42.83625,-103.09652778,1636
"95","CEC",41.78013889,-124.23625,11605
"96","CEF",42.195833335,-72.53263889,112
"97","CEZ",37.30291667,-108.62763889,8214
"98","CGI",37.224444445,-89.57125,7016
"99","CHA",35.035833335,-85.20361111,249324
"100","CHD",33.26902778,-111.81111111,1222
"101","CHO",38.13961111,-78.452611112,197069
"102","CHS",32.89888889,-80.039722225,1070655
"103","CIC",39.795555555,-121.8575,17795
"104","CID",41.8845370333333,-91.7076851833333,501018
"105","CIU",46.246388885,-84.469305555,15434
"106","CKB",39.296888892,-80.228111112,9666
"107","CLD",33.1285185166667,-117.279814813333,44100
"108","CLE",41.409722218,-81.853777776,5386229
"109","CLL",30.589027775,-96.364166665,87451
"110","CLM",48.119583335,-123.496666665,18871
"111","CLT",35.2155555566667,-80.9426851866667,13038409
"112","CMH",39.9963425916667,-82.8898148116667,3256023
"113","CMI",40.039305555,-88.27875,131525
"114","CMX",47.168055555,-88.48777778,27651
"115","CNM",32.33736111,-104.263055555,4240
"116","CNY",38.75722222,-109.750416665,1324
"117","COD",44.518055555,-109.025694445,28473
"118","COS",38.80736111,-104.705,1014210
"119","COU",38.816833334,-92.218944446,21930
"120","CPR",42.907277778,-106.46372222,88591
"121","CRP",27.77100694375,-97.50152777625,416856
"122","CRW",38.37388889,-81.59305556,316835
"123","CSG",32.516333334,-84.93888889,50628
"124","CVG",39.048333335,-84.668194445,10652380
"125","CVN",34.4262500016667,-103.078379631667,2085
"126","CVS",34.383111112,-103.322666666,799
"127","CWA",44.77986111,-89.66291667,163390
"128","CYS",41.155694445,-104.81138889,15130
"129","DAB",29.1816666666667,-81.05453704,290679
"130","DAL",32.8470370333333,-96.85212963,2948201
"131","DAY",39.901666665,-84.21972222,1219179
"132","DBQ",42.40597222,-90.710138885,40632
"133","DCA",38.851666666,-77.037611112,8439172
"134","DDC",37.762361115,-99.96527778,4272
"135","DEC",39.834305555,-88.867083335,11686
"136","DEN",39.818055555,-104.77638889,19792420
"137","DFW",32.896527775,-97.037083335,25278872
"138","DHN",31.320555555,-85.448888885,68240
"139","DIK",46.796944445,-102.799166665,4840
"140","DLH",46.8421296266667,-92.1925925933333,145850
"141","DMA",32.16638889,-110.88277778,195
"142","DNE",33.07888889,-96.73833333,102
"143","DOV",39.12819444,-75.465138885,910
"144","DQK",44.054555556,-75.722388888,2108
"145","DQN",29.055,-80.948472225,27
"146","DQR",35.9883333333333,-113.814444443333,25929
"147","DQW",35.57222222,-113.2925,430
"148","DRO",37.1550925933333,-107.749074073333,101487
"149","DRT",29.37416667,-100.92722222,11091
