"","ORIGIN","DEST","PASSENGERS"
"1","ABE","ABQ",1
"2","ABE","ATL",57193
"3","ABE","AUS",93
"4","ABE","AVP",105
"5","ABE","AZO",26
"6","ABE","BNA",157
"7","ABE","BWI",344
"8","ABE","CID",75
"9","ABE","CLE",26
"10","ABE","CLT",18295
"11","ABE","CMH",30
"12","ABE","CVG",120
"13","ABE","DFW",1004
"14","ABE","DSM",52
"15","ABE","DTW",49579
"16","ABE","FLL",450
"17","ABE","FSD",10
"18","ABE","GRR",3
"19","ABE","GSP",1
"20","ABE","HOU",25
"21","ABE","HSV",24
"22","ABE","IAH",194
"23","ABE","ICT",46
"24","ABE","IND",751
"25","ABE","LAN",18
"26","ABE","LAS",94
"27","ABE","LEX",35
"28","ABE","LGA",403
"29","ABE","LIT",27
"30","ABE","LNK",2
"31","ABE","MCI",5
"32","ABE","MCO",827
"33","ABE","MDT",5051
"34","ABE","MEM",21
"35","ABE","MIA",92
"36","ABE","MKE",257
"37","ABE","MLB",99
"38","ABE","MOB",112
"39","ABE","MYR",120
"40","ABE","OMA",96
"41","ABE","ONT",68
"42","ABE","ORD",81050
"43","ABE","PBI",96
"44","ABE","PIT",104108
"45","ABE","RAP",5
"46","ABE","RDU",66
"47","ABE","SAN",75
"48","ABE","SAT",78
"49","ABE","SBN",600
"50","ABE","SEA",73
"51","ABE","SLC",168
"52","ABE","SMF",34
"53","ABE","STL",1068
"54","ABE","TOL",60
"55","ABE","TPA",454
"56","ABE","TUL",30
"57","ABE","TVC",12
"58","ABI","ACT",9
"59","ABI","DFW",37527
"60","ABI","ILE",16
"61","ABI","LAW",31
"62","ABI","SJT",15
"63","ABQ","AGS",38
"64","ABQ","ALB",479
"65","ABQ","AMA",39366
"66","ABQ","ATL",37628
"67","ABQ","AUS",746
"68","ABQ","AVP",17
"69","ABQ","BDL",584
"70","ABQ","BHM",96
"71","ABQ","BIL",54
"72","ABQ","BNA",80
"73","ABQ","BOI",99
"74","ABQ","BOS",2362
"75","ABQ","BUF",58
"76","ABQ","BUR",7293
"77","ABQ","BWI",1191
"78","ABQ","CAE",222
"79","ABQ","CID",204
"80","ABQ","CLE",320
"81","ABQ","CLT",214
"82","ABQ","CMH",7432
"83","ABQ","COS",14
"84","ABQ","CRP",796
"85","ABQ","CVG",25001
"86","ABQ","DAL",182825
"87","ABQ","DAY",411
"88","ABQ","DCA",12004
"89","ABQ","DEN",241657
"90","ABQ","DET",20
"91","ABQ","DFW",344984
"92","ABQ","DSM",344
"93","ABQ","DTW",305
"94","ABQ","EKO",1254
"95","ABQ","ELP",80231
"96","ABQ","EUG",68
"97","ABQ","EWR",2627
"98","ABQ","FAT",29
"99","ABQ","FLL",30
"100","ABQ","GEG",130
"101","ABQ","GJT",4
"102","ABQ","GSO",70
"103","ABQ","GSP",2
"104","ABQ","GTF",8
"105","ABQ","HOU",13665
"106","ABQ","HPN",67
"107","ABQ","HRL",347
"108","ABQ","HSV",42
"109","ABQ","IAD",1979
"110","ABQ","IAH",104143
"111","ABQ","ICT",95
"112","ABQ","IND",520
"113","ABQ","JAN",48
"114","ABQ","JAX",39
"115","ABQ","JFK",463
"116","ABQ","LAS",167401
"117","ABQ","LAX",188596
"118","ABQ","LBB",33726
"119","ABQ","LFT",3
"120","ABQ","LGA",2294
"121","ABQ","LGB",46
"122","ABQ","LIT",741
"123","ABQ","LNK",69
"124","ABQ","MAF",19489
"125","ABQ","MCI",22370
"126","ABQ","MCO",655
"127","ABQ","MDT",822
"128","ABQ","MDW",20723
"129","ABQ","MFE",11
"130","ABQ","MGM",52
"131","ABQ","MIA",62
"132","ABQ","MKE",191
"133","ABQ","MLB",34
"134","ABQ","MOB",23
"135","ABQ","MSP",60680
"136","ABQ","MSY",3957
"137","ABQ","OAK",25783
"138","ABQ","OKC",2721
"139","ABQ","OMA",619
