"","AIRPORT","LATITUDE","LONGITUDE","PASSENGERS"
"1","1G4",35.988194445,-113.816666665,24806
"2","6B0",43.98513889,-73.095694445,21
"3","ABE",40.65272222,-75.440000002,323011
"4","ABI",32.4106481466667,-99.68111111,84073
"5","ABQ",35.040000002,-106.608277778,2340685
"6","ABR",45.4482870383333,-98.422175925,26529
"7","ABY",31.53388889,-84.195277775,34223
"8","ACK",41.253777782,-70.060055556,125499
"9","ACT",31.611805555,-97.229444445,64292
"10","ACV",40.978101855,-124.108287035,69732
"11","ACY",39.456944445,-74.57777778,576743
"12","ADS",32.96847222,-96.83625,12
"13","AEX",31.325833335,-92.547777775,116237
"14","AFW",32.9884126985714,-97.31892857,1869
"15","AGC",40.3545370333333,-79.9298148166667,58
"16","AGS",33.3694444466667,-81.96444444,269822
"17","AHN",33.948555554,-83.326277776,1144
"18","AIA",42.052999998,-102.804333334,2139
"19","AIK",33.64972222,-81.68486111,5
"20","ALB",42.7475,-73.80361111,1388247
"21","ALN",38.890833335,-90.04722222,NA
"22","ALO",42.556527775,-92.4,26610
"23","ALS",37.435333334,-105.867111114,3863
"24","ALW",46.094944444,-118.28811111,47422
"25","AMA",35.2246296266667,-101.71657407,334810
"26","ANB",33.588500004,-85.857611114,1694
"27","AOO",40.296805555,-78.32,2937
"28","APA",39.571458335,-104.84861111,31
"29","APC",38.21263889,-122.28027778,63
"30","APF",26.152444444,-81.775611112,1116
"31","APN",45.079861115,-83.558055555,8714
"32","ARB",42.22291667,-83.745,4
"33","ART",43.991722218,-76.020277778,17283
"34","ASE",39.222833334,-106.868666666,254252
"35","AST",46.15888889,-123.879305555,6
"36","ATL",33.6384523814286,-84.4276190485714,44787344
"37","ATO",39.211722218,-82.22966667,4
"38","ATW",44.258000004,-88.519333336,270633
"39","ATY",44.9105555566667,-97.1543518533333,2117
"40","AUG",44.31930556,-69.796944445,4952
"41","AUS",30.24625,-97.685694445,5958809
"42","AVL",35.43522222,-82.54211111,416881
"43","AVP",41.33861111,-75.72383333,232505
"44","AYS",31.2487037033333,-82.3958333366667,6
"45","AZ1",35.650694445,-112.14805556,NA
"46","AZA",33.30777778,-111.65555556,696991
"47","AZO",42.235416665,-85.55263889,154196
"48","BAD",32.501888886,-93.662611112,NA
"49","BAF",42.158444448,-72.715944442,677
"50","BBX",40.1369444466667,-75.26675926,1
"51","BCE",37.70638889,-112.145277775,3
"52","BCT",26.37083333,-80.10833333,NA
"53","BDL",41.938703705,-72.683287035,2942163
"54","BDR",41.16375,-73.125277775,55
"55","BED",42.470166666,-71.289222224,4703
"56","BEH",42.128444444,-86.427555554,2
"57","BFD",41.80263889,-78.63972222,4380
"58","BFF",41.87490741,-103.59925926,3656
"59","BFI",47.529444445,-122.30069444,16162
"60","BFL",35.4325,-119.055555556667,100385
"61","BFM",30.62652778,-88.06805556,1139
"62","BFT",32.41208333,-80.63458333,8
