"","AIRPORT","LATITUDE","LONGITUDE","PASSENGERS"
"1","ABE",40.65272222,-75.440000002,472061
"2","ABI",32.4106481466667,-99.68111111,52012
"3","ABQ",35.040000002,-106.608277778,2948732
"4","ABR",45.4482870383333,-98.422175925,25976
"5","ABY",31.53388889,-84.195277775,33503
"6","ACK",41.253777782,-70.060055556,152457
"7","ACT",31.611805555,-97.229444445,56558
"8","ACV",40.978101855,-124.108287035,90184
"9","ACY",39.456944445,-74.57777778,473427
"10","ADW",38.81083333,-76.866999996,2304
"11","AEX",31.325833335,-92.547777775,99959
"12","AFW",32.9884126985714,-97.31892857,997
"13","AGC",40.3545370333333,-79.9298148166667,15
"14","AGS",33.3694444466667,-81.96444444,165580
"15","AHN",33.948555554,-83.326277776,1045
"16","AIA",42.052999998,-102.804333334,1050
"17","AKO",40.17555556,-103.22208333,181
"18","ALB",42.7475,-73.80361111,1399871
"19","ALM",32.8399999983333,-105.990370371667,1032
"20","ALO",42.556527775,-92.4,35801
"21","ALS",37.435333334,-105.867111114,3813
"22","ALW",46.094944444,-118.28811111,26270
"23","AMA",35.2246296266667,-101.71657407,387507
"24","ANB",33.588500004,-85.857611114,564
"25","AND",34.494027775,-82.70972222,203
"26","AOO",40.296805555,-78.32,5776
"27","APF",26.152444444,-81.775611112,3502
"28","APN",45.079861115,-83.558055555,8807
"29","ART",43.991722218,-76.020277778,2574
"30","ASE",39.222833334,-106.868666666,189795
"31","ATL",33.6384523814286,-84.4276190485714,35688167
"32","ATW",44.258000004,-88.519333336,248555
"33","ATY",44.9105555566667,-97.1543518533333,7884
"34","AUG",44.31930556,-69.796944445,2939
"35","AUS",30.24625,-97.685694445,3158840
"36","AVL",35.43522222,-82.54211111,220541
"37","AVP",41.33861111,-75.72383333,180379
"38","AZ1",35.650694445,-112.14805556,NA
"39","AZA",33.30777778,-111.65555556,214
"40","AZO",42.235416665,-85.55263889,222778
"41","BAD",32.501888886,-93.662611112,84
"42","BCE",37.70638889,-112.145277775,2112
"43","BCT",26.37083333,-80.10833333,NA
"44","BDL",41.938703705,-72.683287035,3066876
"45","BED",42.470166666,-71.289222224,18605
"46","BFD",41.80263889,-78.63972222,322
"47","BFF",41.87490741,-103.59925926,7677
"48","BFI",47.529444445,-122.30069444,11392
"49","BFL",35.4325,-119.055555556667,89975
"50","BFT",32.41208333,-80.63458333,NA
"51","BGM",42.207055554,-75.97761111,125834
"52","BGR",44.80763889,-68.82791667,212819
"53","BHB",44.449305555,-68.36166667,9494
"54","BHM",33.5632638925,-86.754722225,1374162
"55","BIF",31.84944444,-106.37972222,409
"56","BIL",45.8075,-108.543055556667,359594
"57","BIS",46.775833335,-100.749166665,143569
"58","BJC",39.90888889,-105.11722222,NA
"59","BJI",47.5098611075,-94.934166665,27642
"60","BKL",41.5175,-81.68311111,427
"61","BKW",37.78458333,-81.12416667,2844
"62","BKX",44.30433333,-96.816555554,632
"63","BLD",35.947444444,-114.861055556,74
"64","BLF",37.29583333,-81.20791667,1615
"65","BLI",48.79361111,-122.53611111,64933
"66","BLV",38.54402778,-89.843194445,1605
"67","BMG",39.1420370366667,-86.61537037,1062
"68","BMI",40.47958333,-88.921666665,207059
"69","BNA",36.125555555,-86.68,3925268
"70","BOI",43.56486111,-116.22388889,1357727
