"","AIRPORT","LATITUDE","LONGITUDE","PASSENGERS"
"1","1B1",42.29013889,-73.71027778,8
"2","1G4",35.988194445,-113.816666665,26808
"3","ABE",40.65272222,-75.440000002,327814
"4","ABI",32.4106481466667,-99.68111111,85080
"5","ABQ",35.040000002,-106.608277778,2409012
"6","ABR",45.4482870383333,-98.422175925,27573
"7","ABY",31.53388889,-84.195277775,37918
"8","ACK",41.253777782,-70.060055556,112291
"9","ACT",31.611805555,-97.229444445,58774
"10","ACV",40.978101855,-124.108287035,65925
"11","ACY",39.456944445,-74.57777778,535239
"12","ADS",32.96847222,-96.83625,21
"13","ADT",34.80416667,-96.67111111,6
"14","AEX",31.325833335,-92.547777775,119948
"15","AFW",32.9884126985714,-97.31892857,2157
"16","AGC",40.3545370333333,-79.9298148166667,58
"17","AGS",33.3694444466667,-81.96444444,288497
"18","AHN",33.948555554,-83.326277776,957
"19","AIA",42.052999998,-102.804333334,2460
"20","AIK",33.64972222,-81.68486111,4
"21","AIZ",38.09722222,-92.54833333,6
"22","AL3",34.86022222,-86.5575,5
"23","ALB",42.7475,-73.80361111,1392946
"24","ALO",42.556527775,-92.4,27288
"25","ALS",37.435333334,-105.867111114,6493
"26","ALW",46.094944444,-118.28811111,49697
"27","AMA",35.2246296266667,-101.71657407,334563
"28","AMW",41.993055555,-93.620138885,3
"29","ANB",33.588500004,-85.857611114,749
"30","AND",34.494027775,-82.70972222,60
"31","ANP",38.94277778,-76.56861111,6
"32","AOO",40.296805555,-78.32,3806
"33","APA",39.571458335,-104.84861111,37
"34","APC",38.21263889,-122.28027778,142
"35","APF",26.152444444,-81.775611112,279
"36","APN",45.079861115,-83.558055555,11117
"37","ARB",42.22291667,-83.745,6
"38","ART",43.991722218,-76.020277778,22497
"39","ASE",39.222833334,-106.868666666,244707
"40","ASH",42.78101852,-71.5127777766667,1
"41","ATL",33.6384523814286,-84.4276190485714,44245118
"42","ATO",39.211722218,-82.22966667,25
"43","ATW",44.258000004,-88.519333336,281522
"44","ATY",44.9105555566667,-97.1543518533333,11130
"45","AUG",44.31930556,-69.796944445,5434
"46","AUO",32.61513889,-85.432916665,30
"47","AUS",30.24625,-97.685694445,6644210
"48","AUZ",41.771388885,-88.47416667,1
