"NODE","LATITUDE","LONGITUDE"
"'s-Hertogenbosch",51.69048,5.29362
"'s-Hertogenbosch Oost",51.700553894043,5.3183331489563
"'t Harde",52.4091682,5.893611
"Aalten",51.9213265245505,6.57862722873687
"Abcoude",52.2785,4.977
"Akkrum",53.0463905334473,5.84361124038696
"Alkmaar",52.6377792358398,4.73972225189209
"Alkmaar Noord",52.6438903808594,4.76416683197022
"Almelo",52.3580551147461,6.65388870239258
"Almelo de Riet",52.3419456481934,6.66666650772095
"Almere Buiten",52.3941650390625,5.2780556678772
"Almere Centrum",52.37503,5.21764
"Almere Muziekwijk",52.3675003051758,5.19027757644653
"Almere Oostvaarders",52.4033317565918,5.30055570602417
"Almere Parkwijk",52.3766670227051,5.24472236633301
"Almere Poort",52.342778,5.151944
"Alphen a/d Rijn",52.1244430541992,4.65777778625488
"Amersfoort",52.1538887023926,5.37055540084839
"Amersfoort Schothorst",52.1748221374512,5.40388870239258
"Amersfoort Vathorst",52.1927795410156,5.43388891220093
"Amsterdam Amstel",52.3466682434082,4.91777801513672
"Amsterdam Bijlmer ArenA",52.3122215270996,4.94694423675537
"Amsterdam Centraal",52.3788871765137,4.90027761459351
"Amsterdam Holendrecht",52.29844,4.95972
"Amsterdam Lelylaan",52.3577766418457,4.83388900756836
"Amsterdam Muiderpoort",52.3605537414551,4.93111133575439
"Amsterdam RAI",52.3372230529785,4.89027786254883
"Amsterdam Science Park",52.35526,4.94651
"Amsterdam Sloterdijk",52.3888893127441,4.83777761459351
"Amsterdam Zuid",52.3388900756836,4.871666431427
"Anna Paulowna",52.8672218322754,4.81111097335815
"Apeldoorn",52.2091674804687,5.97027778625488
"Apeldoorn De Maten",52.2052764892578,6.00055551528931
"Apeldoorn Osseveld",52.2152786254883,6.00444459915161
"Appingedam",53.3258135,6.8619577
"Arkel",51.8719444274902,4.99277782440186
"Arnemuiden",51.5016670227051,3.66916656494141
"Arnhem Centraal",51.9850006103516,5.89916658401489
"Arnhem Presikhaaf",51.9880561828613,5.94388866424561
"Arnhem Velperpoort",51.985279083252,5.91944456100464
"Arnhem Zuid",51.9550018310547,5.85194444656372
"Assen",52.9916648864746,6.57083320617676
"Baarn",52.2083320617676,5.28083324432373
"Bad Nieuweschans",53.1844,7.19937
"Baflo",53.3608969,6.5185581
"Barendrecht",51.8547210693359,4.5533332824707
"Barneveld Centrum",52.1399993896484,5.59027767181396
"Barneveld Noord",52.1613883972168,5.59805536270142
"Barneveld Zuid",52.128853,5.60246
"Bedum",53.3068857,6.593054
"Beek-Elsloo",50.9474983215332,5.78666687011719
"Beesd",51.8994445800781,5.19444465637207
"Beilen",52.8547210693359,6.52111101150513
"Bergen op Zoom",51.4938888549805,4.29611110687256
"Best",51.5099983215332,5.38916683197022
"Beverwijk",52.4783325195313,4.65666675567627
"Bilthoven",52.1300010681152,5.20388889312744
"Blerick",51.372501373291,6.15500020980835
"Bloemendaal",52.404167175293,4.62750005722046
"Bodegraven",52.0813903808594,4.7461109161377
"Borne",52.2988891601562,6.74805545806885
"Boskoop",52.0777778625488,4.64694452285767
"Boven-Hardinxveld",51.832222,4.878056
"Bovenkarspel Flora",52.6961097717285,5.25277757644653
