"FROM","TO"
114,191
114,260
114,485
114,546
114,583
114,606
114,642
115,147
115,228
115,360
115,375
115,376
115,545
115,602
115,619
115,631
115,756
115,812
116,433
116,592
116,776
116,794
117,281
117,308
117,405
117,561
117,571
117,586
117,720
117,764
117,766
118,208
118,358
118,610
118,621
118,624
119,314
119,475
119,585
119,713
120,286
120,359
120,422
120,466
121,124
121,157
121,194
121,330
121,334
121,356
121,444
121,448
121,521
121,575
121,620
121,640
122,325
122,577
122,581
122,686
123,22
123,50
123,207
123,253
123,381
123,850
124,121
124,157
124,330
124,356
124,444
124,448
125,63
125,95
125,106
125,154
125,263
125,731
125,843
126,57
126,217
126,518
126,758
127,159
127,596
127,800
127,819
128,78
128,144
128,303
128,423
128,675
128,759
129,434
129,578
129,602
129,638
129,644
130,111
130,197
130,302
130,426
130,490
130,491
130,623
130,740
131,155
131,390
132,77
132,428
132,494
132,525
132,662
132,681
132,728
132,753
132,791
133,368
133,400
133,531
133,617
133,658
133,740
134,90
134,104
134,707
134,765
135,355
135,530
135,765
135,815
136,229
136,425
136,427
136,474
136,502
136,586
137,447
137,602
138,279
138,435
138,573
138,589
139,224
139,450
139,488
139,526
139,626
139,805
139,829
140,460
140,568
141,176
141,249
141,345
141,458
142,172
142,481
142,533
142,702
142,704
142,823
143,2
143,29
143,203
143,437
143,522
143,557
143,582
143,632
144,78
144,128
144,303
144,423
144,675
144,759
145,324
145,367
145,499
145,503
145,688
145,767
145,807
145,848
146,1
146,167
146,355
146,359
147,115
147,360
147,376
147,602
147,619
147,756
147,812
148,262
148,368
148,483
148,787
149,8
149,605
149,636
150,39
150,100
150,102
150,311
150,811
151,88
151,158
151,291
151,300
151,357
151,406
151,463
151,552
151,584
151,700
151,752
152,330
152,570
152,778
152,794
153,167
153,188
153,292
153,561
153,580
153,599
153,795
153,797
154,63
154,95
154,106
154,125
154,263
154,731
154,843
155,131
155,208
155,240
155,362
155,390
155,581
155,597
155,738
156,46
156,221
156,336
156,566
156,603
156,627
156,628
156,705
157,114
157,121
157,124
157,191
157,260
157,330
157,356
157,444
157,448
157,485
157,546
157,583
157,606
157,642
158,88
158,151
158,291
158,300
158,357
158,406
158,463
158,552
158,584
158,700
158,752
159,127
159,211
159,220
159,314
159,596
159,674
159,800
159,819
160,13
160,57
160,65
160,190
160,230
160,239
160,349
160,366
160,464
160,565
160,692
160,715
160,803
161,361
161,366
161,628
161,847
162,264
162,399
162,409
162,602
163,87
163,341
163,438
163,509
163,554
163,637
163,709
164,258
164,267
164,327
164,416
164,691
164,703
165,641
165,655
165,687
165,839
166,23
166,59
166,214
166,294
166,373
166,482
167,1
167,146
167,153
167,188
167,292
167,355
167,359
167,561
167,580
167,599
167,795
167,797
168,58
168,204
168,272
168,341
168,379
168,621
169,96
169,550
169,567
169,717
169,777
170,25
170,33
170,347
170,660
170,779
171,80
171,199
171,506
171,698
171,737
171,798
172,142
172,481
172,533
172,702
172,704
172,823
173,174
173,209
173,250
173,608
173,650
173,651
173,747
174,173
174,209
174,250
174,608
174,650
174,651
174,747
175,5
175,16
175,103
175,212
175,262
175,282
175,377
175,385
175,417
175,453
175,514
175,761
175,762
176,61
176,141
176,193
176,249
176,251
176,289
176,345
176,458
176,556
176,622
177,386
177,411
177,659
177,834
178,184
178,223
178,276
178,352
178,541
178,598
178,639
178,663
178,725
178,745
178,799
179,6
179,25
179,419
179,629
179,734
180,197
180,331
180,459
180,830
180,853
181,218
181,232
181,343
181,446
182,245
182,451
182,572
182,758
183,240
183,788
183,852
184,178
184,352
184,541
184,598
184,639
184,725
184,799
185,656
185,694
186,421
186,602
186,643
186,775
187,371
187,766
188,153
188,167
188,292
188,561
188,580
188,599
188,795
188,797
189,205
189,359
189,399
189,664
190,57
190,160
190,230
190,239
190,366
190,464
190,565
190,692
190,715
190,803
191,114
191,157
191,260
191,485
191,546
191,583
191,606
191,642
192,369
192,418
192,505
192,720
192,760
193,176
193,277
193,289
193,290
193,653
193,727
194,121
194,334
194,521
194,575
194,620
194,640
195,53
195,263
195,503
195,523
196,97
196,228
196,372
196,587
196,844
197,36
197,130
197,180
197,319
197,331
197,459
197,490
197,491
197,499
197,623
197,766
197,785
197,830
197,831
197,832
197,853
198,334
198,602
198,823
199,80
199,171
199,506
199,698
199,737
199,798
200,58
200,537
201,222
201,243
201,508
201,510
202,3
202,19
202,34
202,73
202,374
203,2
203,29
203,143
203,437
203,522
204,58
204,168
204,272
204,341
204,379
204,621
205,189
205,359
205,399
205,664
206,15
206,331
206,380
206,528
207,22
207,50
207,123
207,253
207,381
207,850
208,118
208,155
208,358
208,362
208,581
208,597
208,610
208,621
208,624
209,173
209,174
209,250
209,608
209,650
209,651
209,747
210,109
210,609
210,631
210,654
211,159
211,220
211,314
211,674
212,175
212,262
212,282
212,385
213,540
213,771
214,23
214,59
214,166
214,294
214,373
214,482
215,31
215,70
215,275
215,490
215,549
215,600
216,41
216,233
216,278
216,701
217,57
217,126
217,234
217,309
217,333
217,518
217,758
217,768
218,181
218,232
218,343
218,446
219,10
219,77
219,266
219,270
219,363
219,381
219,456
219,558
219,576
219,672
219,693
219,782
219,824
220,159
220,211
220,314
220,344
220,492
220,500
220,643
220,658
220,674
221,46
221,156
221,336
221,338
221,415
221,566
221,603
221,627
221,628
221,705
222,201
222,231
222,243
222,265
222,335
222,340
222,359
222,508
222,510
222,527
222,739
222,798
222,809
223,18
223,83
223,178
223,273
223,276
223,407
223,569
223,663
223,745
223,769
223,816
224,139
224,450
224,488
224,626
224,805
225,67
225,519
225,605
225,794
226,229
226,354
226,657
226,678
226,749
226,820
227,410
227,838
228,97
228,115
228,196
228,372
228,375
228,545
228,587
228,631
228,844
229,136
229,226
229,354
229,425
229,427
229,474
229,502
229,586
229,657
229,678
229,749
229,820
230,57
230,160
230,190
230,239
230,366
230,464
230,565
230,692
230,715
230,803
231,222
231,265
231,335
231,340
231,359
231,527
231,739
231,798
231,809
232,181
232,218
232,343
232,364
232,446
232,480
232,497
232,668
232,849
233,41
233,216
233,278
233,701
234,217
234,309
234,333
234,518
234,768
235,14
235,345
235,595
235,645
235,684
235,727
236,37
236,91
236,245
236,284
236,298
236,431
236,462
236,467
236,513
236,697
237,254
237,271
237,511
237,776
238,242
238,370
238,778
238,848
239,57
239,160
239,190
239,230
239,366
239,464
239,565
239,692
239,715
239,803
240,155
240,183
240,362
240,597
240,738
240,788
240,852
241,445
241,766
241,773
242,238
242,370
242,476
242,778
242,783
242,848
243,201
243,222
243,508
243,510
244,11
244,35
244,257
245,91
245,182
245,236
245,298
245,451
245,462
245,467
245,572
245,697
245,758
246,38
246,105
246,280
246,471
246,554
246,584
246,740
246,772
247,107
247,585
247,724
247,838
248,99
248,353
248,475
248,634
249,141
249,176
249,345
249,458
250,34
250,173
250,174
250,209
250,268
250,316
250,355
250,387
250,402
250,438
250,501
250,564
250,579
250,581
250,608
250,650
250,651
250,719
250,740
250,747
250,826
250,828
251,61
251,176
251,556
251,622
252,320
252,658
252,712
252,753
253,22
253,50
253,123
253,207
253,317
253,381
253,397
253,507
253,746
253,850
254,237
254,271
254,511
254,776
255,257
255,346
255,348
256,104
256,268
256,388
256,560
256,774
256,789
257,11
257,35
257,244
257,255
257,346
257,348
258,164
258,267
258,327
258,416
258,691
258,703
259,51
259,288
259,383
259,574
259,616
259,732
260,114
260,157
260,191
260,485
260,546
260,583
260,606
260,642
261,77
261,398
261,452
261,593
261,854
262,112
262,148
262,175
262,212
262,273
262,282
262,368
262,385
262,442
262,457
262,483
262,517
262,544
262,584
262,787
262,816
262,827
262,846
263,53
263,63
263,95
263,106
263,125
263,154
263,195
263,285
263,503
263,523
263,731
263,829
263,843
264,162
264,399
264,409
264,602
265,222
265,231
265,335
265,340
265,359
265,527
265,739
265,798
265,809
266,10
266,77
266,219
266,363
266,558
267,164
267,258
267,327
267,416
267,691
267,703
268,34
268,104
268,250
268,256
268,388
268,402
268,438
268,560
268,774
268,789
269,40
269,307
269,611
269,625
270,219
270,381
270,456
270,576
270,672
270,693
270,782
270,824
271,237
271,254
271,511
271,776
272,58
272,168
272,204
272,341
272,379
272,621
273,81
273,112
273,223
273,262
273,304
273,442
273,544
273,584
273,769
273,816
273,827
274,567
274,744
275,31
275,70
275,215
275,490
275,549
275,600
276,178
276,223
276,663
276,745
277,193
277,289
277,290
278,41
278,216
278,233
278,364
278,495
278,530
278,648
278,701
279,138
279,377
279,435
279,454
279,573
279,589
279,673
279,840
280,38
280,105
280,246
280,471
280,554
280,584
280,740
280,772
281,117
281,586
281,766
282,175
282,212
282,262
282,329
282,385
282,551
282,716
282,730
283,17
283,36
283,786
283,816
284,37
284,236
284,431
284,513
285,263
285,829
286,120
286,293
286,359
286,422
286,466
287,55
287,101
287,630
288,51
288,259
288,383
288,574
288,616
288,732
289,176
289,193
289,277
289,290
289,653
289,727
290,193
290,277
290,289
291,88
291,151
291,158
291,300
291,357
291,406
291,463
291,552
291,584
291,700
291,752
292,153
292,167
292,188
292,561
292,580
292,599
292,795
292,797
293,286
293,359
294,23
294,59
294,166
294,214
294,373
294,482
295,9
